# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
0 1 19 10 0 1 2.012044
0 20 20 20 0 2 1.930617
0 21 21 21 0 3 1.909988
0 22 25 24 0 4 1.871155
0 26 29 28 0 5 1.816280
0 30 34 32 0 6 1.763751
0 35 40 38 0 7 1.699512
0 41 48 45 0 8 1.640171
0 49 58 54 0 9 1.578768
0 59 71 65 0 10 1.514855
0 72 88 80 0 11 1.454793
0 89 113 101 0 12 1.396893
0 114 155 135 0 13 1.333276
0 156 254 205 0 14 1.262146
0 255 255 255 0 15 1.231529
1 0 0 0 1 0 1.000000   # ieta [6, 7, 8, 9], pt 0
1 1 19 10 1 1 2.080194
1 20 20 20 1 2 1.997768
1 21 21 21 1 3 1.973414
1 22 25 24 1 4 1.927862
1 26 29 28 1 5 1.868347
1 30 34 32 1 6 1.809996
1 35 40 38 1 7 1.740894
1 41 48 45 1 8 1.672303
1 49 58 54 1 9 1.611113
1 59 71 65 1 10 1.543972
1 72 88 80 1 11 1.478977
1 89 113 101 1 12 1.416668
1 114 155 135 1 13 1.350643
1 156 254 205 1 14 1.275157
1 255 255 255 1 15 1.242720
2 0 0 0 2 0 1.000000   # ieta [10, 11, 12, 13], pt 0
2 1 19 10 2 1 2.161291
2 20 20 20 2 2 2.083650
2 21 21 21 2 3 2.061313
2 22 25 24 2 4 2.012412
2 26 29 28 2 5 1.947654
2 30 34 32 2 6 1.879153
2 35 40 38 2 7 1.805177
2 41 48 45 2 8 1.727236
2 49 58 54 2 9 1.659456
2 59 71 65 2 10 1.588340
2 72 88 80 2 11 1.519267
2 89 113 101 2 12 1.453077
2 114 155 135 2 13 1.379925
2 156 254 205 2 14 1.297887
2 255 255 255 2 15 1.264653
3 0 0 0 3 0 1.000000   # ieta [14, 15], pt 0
3 1 19 10 3 1 2.346796
3 20 20 20 3 2 2.262600
3 21 21 21 3 3 2.230098
3 22 25 24 3 4 2.171075
3 26 29 28 3 5 2.092404
3 30 34 32 3 6 2.012015
3 35 40 38 3 7 1.934254
3 41 48 45 3 8 1.852285
3 49 58 54 3 9 1.764015
3 59 71 65 3 10 1.683271
3 72 88 80 3 11 1.603219
3 89 113 101 3 12 1.521555
3 114 155 135 3 13 1.439873
3 156 254 205 3 14 1.348224
3 255 255 255 3 15 1.311641
4 0 0 0 4 0 1.000000   # ieta [16, 17], pt 0
4 1 19 10 4 1 2.483606
4 20 20 20 4 2 2.380857
4 21 21 21 4 3 2.349639
4 22 25 24 4 4 2.291054
4 26 29 28 4 5 2.200067
4 30 34 32 4 6 2.117737
4 35 40 38 4 7 2.036517
4 41 48 45 4 8 1.960212
4 49 58 54 4 9 1.877551
4 59 71 65 4 10 1.793130
4 72 88 80 4 11 1.708214
4 89 113 101 4 12 1.622458
4 114 155 135 4 13 1.540473
4 156 254 205 4 14 1.446682
4 255 255 255 4 15 1.410536
5 0 0 0 5 0 1.000000   # ieta [18, 19], pt 0
5 1 19 10 5 1 2.388894
5 20 20 20 5 2 2.270372
5 21 21 21 5 3 2.238425
5 22 25 24 5 4 2.175899
5 26 29 28 5 5 2.087970
5 30 34 32 5 6 2.001545
5 35 40 38 5 7 1.919727
5 41 48 45 5 8 1.832801
5 49 58 54 5 9 1.742835
5 59 71 65 5 10 1.653798
5 72 88 80 5 11 1.574996
5 89 113 101 5 12 1.500411
5 114 155 135 5 13 1.411808
5 156 254 205 5 14 1.317513
5 255 255 255 5 15 1.274074
