# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
0 1 19 10 0 1 2.679992
0 20 20 20 0 2 2.493552
0 21 21 21 0 3 2.457251
0 22 25 24 0 4 2.378273
0 26 29 28 0 5 2.276253
0 30 34 32 0 6 2.194214
0 35 40 38 0 7 2.092681
0 41 48 45 0 8 2.002801
0 49 58 54 0 9 1.915395
0 59 71 65 0 10 1.828523
0 72 88 80 0 11 1.750433
0 89 113 101 0 12 1.671080
0 114 155 135 0 13 1.588523
0 156 254 205 0 14 1.496665
0 255 255 255 0 15 1.457406
1 0 0 0 1 0 1.000000   # ieta [6, 7, 8, 9], pt 0
1 1 19 10 1 1 2.724330
1 20 20 20 1 2 2.534611
1 21 21 21 1 3 2.499548
1 22 25 24 1 4 2.419485
1 26 29 28 1 5 2.310184
1 30 34 32 1 6 2.225375
1 35 40 38 1 7 2.127386
1 41 48 45 1 8 2.033768
1 49 58 54 1 9 1.943688
1 59 71 65 1 10 1.850851
1 72 88 80 1 11 1.769298
1 89 113 101 1 12 1.688158
1 114 155 135 1 13 1.603629
1 156 254 205 1 14 1.509081
1 255 255 255 1 15 1.469235
2 0 0 0 2 0 1.000000   # ieta [10, 11, 12, 13], pt 0
2 1 19 10 2 1 2.810455
2 20 20 20 2 2 2.613709
2 21 21 21 2 3 2.580758
2 22 25 24 2 4 2.500092
2 26 29 28 2 5 2.387053
2 30 34 32 2 6 2.298628
2 35 40 38 2 7 2.194670
2 41 48 45 2 8 2.090766
2 49 58 54 2 9 1.996813
2 59 71 65 2 10 1.901616
2 72 88 80 2 11 1.812295
2 89 113 101 2 12 1.726397
2 114 155 135 2 13 1.635116
2 156 254 205 2 14 1.531254
2 255 255 255 2 15 1.489953
3 0 0 0 3 0 1.000000   # ieta [14, 15], pt 0
3 1 19 10 3 1 2.968669
3 20 20 20 3 2 2.778404
3 21 21 21 3 3 2.739065
3 22 25 24 3 4 2.656038
3 26 29 28 3 5 2.531202
3 30 34 32 3 6 2.420286
3 35 40 38 3 7 2.301445
3 41 48 45 3 8 2.199017
3 49 58 54 3 9 2.099821
3 59 71 65 3 10 1.991042
3 72 88 80 3 11 1.891569
3 89 113 101 3 12 1.794963
3 114 155 135 3 13 1.696113
3 156 254 205 3 14 1.581138
3 255 255 255 3 15 1.539573
4 0 0 0 4 0 1.000000   # ieta [16, 17], pt 0
4 1 19 10 4 1 3.116475
4 20 20 20 4 2 2.920398
4 21 21 21 4 3 2.880792
4 22 25 24 4 4 2.786861
4 26 29 28 4 5 2.663611
4 30 34 32 4 6 2.555509
4 35 40 38 4 7 2.430345
4 41 48 45 4 8 2.329313
4 49 58 54 4 9 2.221275
4 59 71 65 4 10 2.113148
4 72 88 80 4 11 2.013005
4 89 113 101 4 12 1.914561
4 114 155 135 4 13 1.805613
4 156 254 205 4 14 1.694714
4 255 255 255 4 15 1.650529
5 0 0 0 5 0 1.000000   # ieta [18, 19], pt 0
5 1 19 10 5 1 2.951455
5 20 20 20 5 2 2.713720
5 21 21 21 5 3 2.671708
5 22 25 24 5 4 2.583728
5 26 29 28 5 5 2.475785
5 30 34 32 5 6 2.381782
5 35 40 38 5 7 2.285840
5 41 48 45 5 8 2.171786
5 49 58 54 5 9 2.061506
5 59 71 65 5 10 1.952740
5 72 88 80 5 11 1.856216
5 89 113 101 5 12 1.752269
5 114 155 135 5 13 1.647004
5 156 254 205 5 14 1.534065
5 255 255 255 5 15 1.486691
6 0 0 0 6 0 1.000000   # ieta [20, 21], pt 0
6 1 19 10 6 1 2.933702
6 20 20 20 6 2 2.678829
6 21 21 21 6 3 2.631370
6 22 25 24 6 4 2.542068
6 26 29 28 6 5 2.427271
6 30 34 32 6 6 2.323437
6 35 40 38 6 7 2.222520
6 41 48 45 6 8 2.102000
6 49 58 54 6 9 2.003274
6 59 71 65 6 10 1.904509
6 72 88 80 6 11 1.810278
6 89 113 101 6 12 1.714965
6 114 155 135 6 13 1.616646
6 156 254 205 6 14 1.505534
6 255 255 255 6 15 1.457403
7 0 0 0 7 0 1.000000   # ieta [22], pt 0
7 1 19 10 7 1 2.876092
7 20 20 20 7 2 2.629991
7 21 21 21 7 3 2.584146
7 22 25 24 7 4 2.482716
7 26 29 28 7 5 2.346652
7 30 34 32 7 6 2.251950
7 35 40 38 7 7 2.148153
7 41 48 45 7 8 2.043261
7 49 58 54 7 9 1.944006
7 59 71 65 7 10 1.848003
7 72 88 80 7 11 1.758593
7 89 113 101 7 12 1.671247
7 114 155 135 7 13 1.583311
7 156 254 205 7 14 1.475660
7 255 255 255 7 15 1.427478
8 0 0 0 8 0 1.000000   # ieta [23], pt 0
8 1 19 10 8 1 2.748323
8 20 20 20 8 2 2.541351
8 21 21 21 8 3 2.489395
8 22 25 24 8 4 2.396281
8 26 29 28 8 5 2.256518
8 30 34 32 8 6 2.157976
8 35 40 38 8 7 2.079262
8 41 48 45 8 8 1.981085
8 49 58 54 8 9 1.891912
8 59 71 65 8 10 1.800935
8 72 88 80 8 11 1.714493
8 89 113 101 8 12 1.638254
8 114 155 135 8 13 1.549285
8 156 254 205 8 14 1.446660
8 255 255 255 8 15 1.401434
9 0 0 0 9 0 1.000000   # ieta [24], pt 0
9 1 19 10 9 1 2.644136
9 20 20 20 9 2 2.431577
9 21 21 21 9 3 2.377887
9 22 25 24 9 4 2.292098
9 26 29 28 9 5 2.164530
9 30 34 32 9 6 2.081793
9 35 40 38 9 7 2.006122
9 41 48 45 9 8 1.922738
9 49 58 54 9 9 1.828817
9 59 71 65 9 10 1.753429
9 72 88 80 9 11 1.675063
9 89 113 101 9 12 1.595406
9 114 155 135 9 13 1.518166
9 156 254 205 9 14 1.423139
9 255 255 255 9 15 1.382066
10 0 0 0 10 0 1.000000   # ieta [25], pt 0
10 1 19 10 10 1 2.604081
10 20 20 20 10 2 2.382176
10 21 21 21 10 3 2.334344
10 22 25 24 10 4 2.262941
10 26 29 28 10 5 2.144180
10 30 34 32 10 6 2.061276
10 35 40 38 10 7 1.978067
10 41 48 45 10 8 1.888673
10 49 58 54 10 9 1.805063
10 59 71 65 10 10 1.729929
10 72 88 80 10 11 1.651040
10 89 113 101 10 12 1.574256
10 114 155 135 10 13 1.496164
10 156 254 205 10 14 1.405720
10 255 255 255 10 15 1.367060
11 0 0 0 11 0 1.000000   # ieta [26], pt 0
11 1 19 10 11 1 2.633060
11 20 20 20 11 2 2.405171
11 21 21 21 11 3 2.356877
11 22 25 24 11 4 2.273299
11 26 29 28 11 5 2.144079
11 30 34 32 11 6 2.062090
11 35 40 38 11 7 1.974786
11 41 48 45 11 8 1.879922
11 49 58 54 11 9 1.788659
11 59 71 65 11 10 1.703110
11 72 88 80 11 11 1.625254
11 89 113 101 11 12 1.546526
11 114 155 135 11 13 1.466924
11 156 254 205 11 14 1.373513
11 255 255 255 11 15 1.336008
12 0 0 0 12 0 1.000000   # ieta [27, 28], pt 0
12 1 19 10 12 1 2.625405
12 20 20 20 12 2 2.369410
12 21 21 21 12 3 2.311958
12 22 25 24 12 4 2.212276
12 26 29 28 12 5 2.076506
12 30 34 32 12 6 1.989900
12 35 40 38 12 7 1.904943
12 41 48 45 12 8 1.811599
12 49 58 54 12 9 1.720782
12 59 71 65 12 10 1.632451
12 72 88 80 12 11 1.547117
12 89 113 101 12 12 1.462399
12 114 155 135 12 13 1.377711
12 156 254 205 12 14 1.289062
12 255 255 255 12 15 1.256412
13 0 0 0 13 0 1.000000   # ieta [29, 30, 31], pt 0
13 1 19 10 13 1 1.930740
13 20 20 20 13 2 1.690153
13 21 21 21 13 3 1.652769
13 22 25 24 13 4 1.604237
13 26 29 28 13 5 1.532473
13 30 34 32 13 6 1.484631
13 35 40 38 13 7 1.446202
13 41 48 45 13 8 1.412243
13 49 58 54 13 9 1.374395
13 59 71 65 13 10 1.335602
13 72 88 80 13 11 1.298512
13 89 113 101 13 12 1.254020
13 114 155 135 13 13 1.206043
13 156 254 205 13 14 1.162817
13 255 255 255 13 15 1.145545
14 0 0 0 14 0 1.000000   # ieta [32, 33, 34, 35], pt 0
14 1 19 10 14 1 1.601870
14 20 20 20 14 2 1.400194
14 21 21 21 14 3 1.371853
14 22 25 24 14 4 1.326701
14 26 29 28 14 5 1.264159
14 30 34 32 14 6 1.230925
14 35 40 38 14 7 1.195353
14 41 48 45 14 8 1.167596
14 49 58 54 14 9 1.150366
14 59 71 65 14 10 1.125366
14 72 88 80 14 11 1.103919
14 89 113 101 14 12 1.082284
14 114 155 135 14 13 1.053104
14 156 254 205 14 14 1.027282
14 255 255 255 14 15 1.019114
15 0 0 0 15 0 1.000000   # ieta [36, 37, 38, 39, 40], pt 0
15 1 19 10 15 1 1.683727
15 20 20 20 15 2 1.464970
15 21 21 21 15 3 1.423951
15 22 25 24 15 4 1.376508
15 26 29 28 15 5 1.297216
15 30 34 32 15 6 1.241210
15 35 40 38 15 7 1.193823
15 41 48 45 15 8 1.159260
15 49 58 54 15 9 1.131328
15 59 71 65 15 10 1.098108
15 72 88 80 15 11 1.071983
15 89 113 101 15 12 1.044614
15 114 155 135 15 13 1.020531
15 156 254 205 15 14 0.995406
15 255 255 255 15 15 0.991710
