pT  pTBin_hex pTBin_int 
0  0x00000  0 
1  0x00001  1 
2  0x00001  1 
3  0x00001  1 
4  0x00001  1 
5  0x00001  1 
6  0x00001  1 
7  0x00001  1 
8  0x00001  1 
9  0x00001  1 
10  0x00001  1 
11  0x00001  1 
12  0x00001  1 
13  0x00001  1 
14  0x00001  1 
15  0x00001  1 
16  0x00002  2 
17  0x00003  3 
18  0x00004  4 
19  0x00005  5 
20  0x00006  6 
21  0x00007  7 
22  0x00008  8 
23  0x00009  9 
24  0x0000A  10 
25  0x0000B  11 
26  0x0000C  12 
27  0x0000D  13 
28  0x0000E  14 
29  0x0000F  15 
30  0x00010  16 
31  0x00011  17 
32  0x00012  18 
33  0x00012  18 
34  0x00013  19 
35  0x00013  19 
36  0x00014  20 
37  0x00014  20 
38  0x00015  21 
39  0x00015  21 
40  0x00016  22 
41  0x00016  22 
42  0x00017  23 
43  0x00017  23 
44  0x00018  24 
45  0x00018  24 
46  0x00019  25 
47  0x00019  25 
48  0x0001A  26 
49  0x0001A  26 
50  0x0001B  27 
51  0x0001B  27 
52  0x0001C  28 
53  0x0001C  28 
54  0x0001D  29 
55  0x0001D  29 
56  0x0001E  30 
57  0x0001E  30 
58  0x0001F  31 
59  0x0001F  31 
60  0x00020  32 
61  0x00020  32 
62  0x00021  33 
63  0x00021  33 
64  0x00021  33 
65  0x00022  34 
66  0x00022  34 
67  0x00022  34 
68  0x00023  35 
69  0x00023  35 
70  0x00023  35 
71  0x00024  36 
72  0x00024  36 
73  0x00024  36 
74  0x00025  37 
75  0x00025  37 
76  0x00025  37 
77  0x00026  38 
78  0x00026  38 
79  0x00026  38 
80  0x00027  39 
81  0x00027  39 
82  0x00027  39 
83  0x00028  40 
84  0x00028  40 
85  0x00028  40 
86  0x00029  41 
87  0x00029  41 
88  0x00029  41 
89  0x0002A  42 
90  0x0002A  42 
91  0x0002A  42 
92  0x0002B  43 
93  0x0002B  43 
94  0x0002B  43 
95  0x0002C  44 
96  0x0002C  44 
97  0x0002C  44 
98  0x0002D  45 
99  0x0002D  45 
100  0x0002D  45 
101  0x0002E  46 
102  0x0002E  46 
103  0x0002E  46 
104  0x0002F  47 
105  0x0002F  47 
106  0x0002F  47 
107  0x0002F  47 
108  0x0002F  47 
109  0x0002F  47 
110  0x00030  48 
111  0x00030  48 
112  0x00030  48 
113  0x00030  48 
114  0x00030  48 
115  0x00030  48 
116  0x00031  49 
117  0x00031  49 
118  0x00031  49 
119  0x00031  49 
120  0x00031  49 
121  0x00031  49 
122  0x00032  50 
123  0x00032  50 
124  0x00032  50 
125  0x00032  50 
126  0x00032  50 
127  0x00032  50 
128  0x00033  51 
129  0x00033  51 
130  0x00033  51 
131  0x00033  51 
132  0x00033  51 
133  0x00033  51 
134  0x00034  52 
135  0x00034  52 
136  0x00034  52 
137  0x00034  52 
138  0x00034  52 
139  0x00034  52 
140  0x00035  53 
141  0x00035  53 
142  0x00035  53 
143  0x00035  53 
144  0x00035  53 
145  0x00035  53 
146  0x00036  54 
147  0x00036  54 
148  0x00036  54 
149  0x00036  54 
150  0x00036  54 
151  0x00036  54 
152  0x00037  55 
153  0x00037  55 
154  0x00037  55 
155  0x00037  55 
156  0x00037  55 
157  0x00037  55 
158  0x00038  56 
159  0x00038  56 
160  0x00038  56 
161  0x00038  56 
162  0x00038  56 
163  0x00038  56 
164  0x00039  57 
165  0x00039  57 
166  0x00039  57 
167  0x00039  57 
168  0x00039  57 
169  0x00039  57 
170  0x0003A  58 
171  0x0003A  58 
172  0x0003A  58 
173  0x0003A  58 
174  0x0003A  58 
175  0x0003A  58 
176  0x0003B  59 
177  0x0003B  59 
178  0x0003B  59 
179  0x0003B  59 
180  0x0003B  59 
181  0x0003B  59 
182  0x0003C  60 
183  0x0003C  60 
184  0x0003C  60 
185  0x0003C  60 
186  0x0003C  60 
187  0x0003C  60 
188  0x0003D  61 
189  0x0003D  61 
190  0x0003D  61 
191  0x0003D  61 
192  0x0003D  61 
193  0x0003D  61 
194  0x0003E  62 
195  0x0003E  62 
196  0x0003E  62 
197  0x0003E  62 
198  0x0003E  62 
199  0x0003E  62 
200  0x0003E  62 
201  0x0003E  62 
202  0x0003E  62 
203  0x0003E  62 
204  0x0003E  62 
205  0x0003E  62 
206  0x0003E  62 
207  0x0003E  62 
208  0x0003E  62 
209  0x0003E  62 
210  0x0003E  62 
211  0x0003E  62 
212  0x0003E  62 
213  0x0003E  62 
214  0x0003E  62 
215  0x0003E  62 
216  0x0003E  62 
217  0x0003E  62 
218  0x0003E  62 
219  0x0003E  62 
220  0x0003E  62 
221  0x0003E  62 
222  0x0003E  62 
223  0x0003E  62 
224  0x0003E  62 
225  0x0003E  62 
226  0x0003E  62 
227  0x0003E  62 
228  0x0003E  62 
229  0x0003E  62 
230  0x0003E  62 
231  0x0003E  62 
232  0x0003E  62 
233  0x0003E  62 
234  0x0003E  62 
235  0x0003E  62 
236  0x0003E  62 
237  0x0003E  62 
238  0x0003E  62 
239  0x0003E  62 
240  0x0003E  62 
241  0x0003E  62 
242  0x0003E  62 
243  0x0003E  62 
244  0x0003E  62 
245  0x0003E  62 
246  0x0003E  62 
247  0x0003E  62 
248  0x0003E  62 
249  0x0003E  62 
250  0x0003E  62 
251  0x0003E  62 
252  0x0003E  62 
253  0x0003E  62 
254  0x0003E  62 
255  0x0003F  63 
