# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 1.575358
0 16 16 16 0 2 1.587441
0 17 17 17 0 3 1.594095
0 18 18 18 0 4 1.597824
0 19 19 19 0 5 1.589502
0 20 20 20 0 6 1.594338
0 21 21 21 0 7 1.594684
0 22 22 22 0 8 1.594684
0 23 23 23 0 9 1.595157
0 24 24 24 0 10 1.598569
0 25 25 25 0 11 1.598146
0 26 26 26 0 12 1.601883
0 27 27 27 0 13 1.594102
0 28 28 28 0 14 1.595385
0 29 29 29 0 15 1.592484
0 30 30 30 0 16 1.587653
0 31 31 31 0 17 1.586257
0 32 33 33 0 18 1.577474
0 34 35 35 0 19 1.560549
0 36 37 37 0 20 1.542911
0 38 39 39 0 21 1.527779
0 40 41 41 0 22 1.520236
0 42 43 43 0 23 1.505016
0 44 45 45 0 24 1.496463
0 46 47 47 0 25 1.473443
0 48 49 49 0 26 1.472600
0 50 51 51 0 27 1.453978
0 52 53 53 0 28 1.448235
0 54 55 55 0 29 1.443688
0 56 57 57 0 30 1.432589
0 58 59 59 0 31 1.426807
0 60 61 61 0 32 1.417771
0 62 64 63 0 33 1.412820
0 65 67 66 0 34 1.396848
0 68 70 69 0 35 1.392098
0 71 73 72 0 36 1.387641
0 74 76 75 0 37 1.374911
0 77 79 78 0 38 1.373330
0 80 82 81 0 39 1.367848
0 83 85 84 0 40 1.355128
0 86 88 87 0 41 1.351882
0 89 91 90 0 42 1.347682
0 92 94 93 0 43 1.345232
0 95 97 96 0 44 1.336827
0 98 100 99 0 45 1.327056
0 101 103 102 0 46 1.321416
0 104 109 107 0 47 1.310777
0 110 115 113 0 48 1.297722
0 116 121 119 0 49 1.297012
0 122 127 125 0 50 1.278749
0 128 133 131 0 51 1.275912
0 134 139 137 0 52 1.274350
0 140 145 143 0 53 1.269156
0 146 151 149 0 54 1.260218
0 152 157 155 0 55 1.260387
0 158 163 161 0 56 1.256125
0 164 169 167 0 57 1.250763
0 170 175 173 0 58 1.250625
0 176 181 179 0 59 1.240010
0 182 187 185 0 60 1.233572
0 188 193 191 0 61 1.228357
0 194 254 224 0 62 1.209047
0 255 255 255 0 63 1.186646
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 1 15 8 1 1 1.630371
1 16 16 16 1 2 1.643410
1 17 17 17 1 3 1.651331
1 18 18 18 1 4 1.655193
1 19 19 19 1 5 1.645726
1 20 20 20 1 6 1.650733
1 21 21 21 1 7 1.651091
1 22 22 22 1 8 1.651091
1 23 23 23 1 9 1.649446
1 24 24 24 1 10 1.648297
1 25 25 25 1 11 1.646762
1 26 26 26 1 12 1.643833
1 27 27 27 1 13 1.622589
1 28 28 28 1 14 1.621340
1 29 29 29 1 15 1.615784
1 30 30 30 1 16 1.604713
1 31 31 31 1 17 1.603079
1 32 33 33 1 18 1.593371
1 34 35 35 1 19 1.576918
1 36 37 37 1 20 1.558518
1 38 39 39 1 21 1.541504
1 40 41 41 1 22 1.534266
1 42 43 43 1 23 1.514815
1 44 45 45 1 24 1.505512
1 46 47 47 1 25 1.481766
1 48 49 49 1 26 1.480143
1 50 51 51 1 27 1.461930
1 52 53 53 1 28 1.456664
1 54 55 55 1 29 1.452090
1 56 57 57 1 30 1.442353
1 58 59 59 1 31 1.436531
1 60 61 61 1 32 1.427378
1 62 64 63 1 33 1.422284
1 65 67 66 1 34 1.404788
1 68 70 69 1 35 1.398302
1 71 73 72 1 36 1.393734
1 74 76 75 1 37 1.380768
1 77 79 78 1 38 1.379426
1 80 82 81 1 39 1.374105
1 83 85 84 1 40 1.361452
1 86 88 87 1 41 1.358191
1 89 91 90 1 42 1.353971
1 92 94 93 1 43 1.351511
1 95 97 96 1 44 1.343549
1 98 100 99 1 45 1.333729
1 101 103 102 1 46 1.328061
1 104 109 107 1 47 1.317368
1 110 115 113 1 48 1.304247
1 116 121 119 1 49 1.303504
1 122 127 125 1 50 1.285006
1 128 133 131 1 51 1.281828
1 134 139 137 1 52 1.279928
1 140 145 143 1 53 1.273861
1 146 151 149 1 54 1.263930
1 152 157 155 1 55 1.264099
1 158 163 161 1 56 1.259825
1 164 169 167 1 57 1.254447
1 170 175 173 1 58 1.254309
1 176 181 179 1 59 1.243663
1 182 187 185 1 60 1.237206
1 188 193 191 1 61 1.232197
1 194 254 224 1 62 1.212891
1 255 255 255 1 63 1.190666
2 0 0 0 2 0 1.000000   # ieta [3], pt 0
2 1 15 8 2 1 1.669689
2 16 16 16 2 2 1.663648
2 17 17 17 2 3 1.651796
2 18 18 18 2 4 1.649952
2 19 19 19 2 5 1.649943
2 20 20 20 2 6 1.654963
2 21 21 21 2 7 1.655322
2 22 22 22 2 8 1.655322
2 23 23 23 2 9 1.653834
2 24 24 24 2 10 1.655577
2 25 25 25 2 11 1.654271
2 26 26 26 2 12 1.650401
2 27 27 27 2 13 1.632671
2 28 28 28 2 14 1.631769
2 29 29 29 2 15 1.627080
2 30 30 30 2 16 1.615578
2 31 31 31 2 17 1.613932
2 32 33 33 2 18 1.602537
2 34 35 35 2 19 1.585336
2 36 37 37 2 20 1.566838
2 38 39 39 2 21 1.549430
2 40 41 41 2 22 1.541713
2 42 43 43 2 23 1.521634
2 44 45 45 2 24 1.511199
2 46 47 47 2 25 1.486811
2 48 49 49 2 26 1.484928
2 50 51 51 2 27 1.465932
2 52 53 53 2 28 1.459925
2 54 55 55 2 29 1.455259
2 56 57 57 2 30 1.444995
2 58 59 59 2 31 1.438429
2 60 61 61 2 32 1.428533
2 62 64 63 2 33 1.423434
2 65 67 66 2 34 1.405788
2 68 70 69 2 35 1.399040
2 71 73 72 2 36 1.394470
2 74 76 75 2 37 1.381207
2 77 79 78 2 38 1.379866
2 80 82 81 2 39 1.374543
2 83 85 84 2 40 1.361886
2 86 88 87 2 41 1.358624
2 89 91 90 2 42 1.354403
2 92 94 93 2 43 1.351941
2 95 97 96 2 44 1.343977
2 98 100 99 2 45 1.334154
2 101 103 102 2 46 1.328484
2 104 109 107 2 47 1.317787
2 110 115 113 2 48 1.304663
2 116 121 119 2 49 1.303920
2 122 127 125 2 50 1.285415
2 128 133 131 2 51 1.282236
2 134 139 137 2 52 1.280335
2 140 145 143 2 53 1.274267
2 146 151 149 2 54 1.264333
2 152 157 155 2 55 1.264502
2 158 163 161 2 56 1.260226
2 164 169 167 2 57 1.254847
2 170 175 173 2 58 1.254709
2 176 181 179 2 59 1.244059
2 182 187 185 2 60 1.237600
2 188 193 191 2 61 1.232589
2 194 254 224 2 62 1.213277
2 255 255 255 2 63 1.191045
3 0 0 0 3 0 1.000000   # ieta [4], pt 0
3 1 15 8 3 1 1.684241
3 16 16 16 3 2 1.676180
3 17 17 17 3 3 1.663051
3 18 18 18 3 4 1.661195
3 19 19 19 3 5 1.661187
3 20 20 20 3 6 1.667431
3 21 21 21 3 7 1.667792
3 22 22 22 3 8 1.667792
3 23 23 23 3 9 1.665391
3 24 24 24 3 10 1.667146
3 25 25 25 3 11 1.665262
3 26 26 26 3 12 1.656612
3 27 27 27 3 13 1.636099
3 28 28 28 3 14 1.635459
3 29 29 29 3 15 1.630759
3 30 30 30 3 16 1.620216
3 31 31 31 3 17 1.618702
3 32 33 33 3 18 1.608540
3 34 35 35 3 19 1.591457
3 36 37 37 3 20 1.572995
3 38 39 39 3 21 1.555519
3 40 41 41 3 22 1.546910
3 42 43 43 3 23 1.526770
3 44 45 45 3 24 1.516321
3 46 47 47 3 25 1.491850
3 48 49 49 3 26 1.490037
3 50 51 51 3 27 1.470687
3 52 53 53 3 28 1.464369
3 54 55 55 3 29 1.459688
3 56 57 57 3 30 1.449258
3 58 59 59 3 31 1.442275
3 60 61 61 3 32 1.431494
3 62 64 63 3 33 1.426015
3 65 67 66 3 34 1.408007
3 68 70 69 3 35 1.401067
3 71 73 72 3 36 1.396491
3 74 76 75 3 37 1.382897
3 77 79 78 3 38 1.381467
