# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 1.427872
0 16 16 16 0 2 1.422504
0 17 17 17 0 3 1.418695
0 18 18 18 0 4 1.417084
0 19 19 19 0 5 1.424053
0 20 20 20 0 6 1.425048
0 21 21 21 0 7 1.426054
0 22 22 22 0 8 1.430522
0 23 23 23 0 9 1.445291
0 24 24 24 0 10 1.443265
0 25 25 25 0 11 1.442754
0 26 26 26 0 12 1.456087
0 27 27 27 0 13 1.461663
0 28 28 28 0 14 1.461663
0 29 29 29 0 15 1.463130
0 30 30 30 0 16 1.461704
0 31 31 31 0 17 1.452402
0 32 33 33 0 18 1.449481
0 34 35 35 0 19 1.451398
0 36 37 37 0 20 1.445952
0 38 39 39 0 21 1.434385
0 40 41 41 0 22 1.431642
0 42 43 43 0 23 1.422898
0 44 45 45 0 24 1.414058
0 46 47 47 0 25 1.406850
0 48 49 49 0 26 1.383541
0 50 51 51 0 27 1.377986
0 52 53 53 0 28 1.368467
0 54 55 55 0 29 1.359988
0 56 57 57 0 30 1.355625
0 58 59 59 0 31 1.354362
0 60 61 61 0 32 1.344496
0 62 64 63 0 33 1.337651
0 65 67 66 0 34 1.337790
0 68 70 69 0 35 1.325339
0 71 73 72 0 36 1.320530
0 74 76 75 0 37 1.306417
0 77 79 78 0 38 1.304837
0 80 82 81 0 39 1.302607
0 83 85 84 0 40 1.293687
0 86 88 87 0 41 1.279824
0 89 91 90 0 42 1.277060
0 92 94 93 0 43 1.270641
0 95 97 96 0 44 1.267748
0 98 100 99 0 45 1.265174
0 101 103 102 0 46 1.260756
0 104 109 107 0 47 1.253125
0 110 115 113 0 48 1.234076
0 116 121 119 0 49 1.231772
0 122 127 125 0 50 1.230252
0 128 133 131 0 51 1.224132
0 134 139 137 0 52 1.218776
0 140 145 143 0 53 1.217100
