# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 1.801436
0 16 16 16 0 2 1.828225
0 17 17 17 0 3 1.823883
0 18 18 18 0 4 1.821959
0 19 19 19 0 5 1.818747
0 20 20 20 0 6 1.818176
0 21 21 21 0 7 1.812701
0 22 22 22 0 8 1.816908
0 23 23 23 0 9 1.815264
0 24 24 24 0 10 1.802902
0 25 25 25 0 11 1.800905
0 26 26 26 0 12 1.777921
0 27 27 27 0 13 1.764852
0 28 28 28 0 14 1.746568
0 29 29 29 0 15 1.735532
0 30 30 30 0 16 1.727073
0 31 31 31 0 17 1.722995
0 32 33 33 0 18 1.697682
0 34 35 35 0 19 1.670789
0 36 37 37 0 20 1.637740
0 38 39 39 0 21 1.618801
0 40 41 41 0 22 1.590993
0 42 43 43 0 23 1.575624
0 44 45 45 0 24 1.560876
0 46 47 47 0 25 1.543877
0 48 49 49 0 26 1.530621
0 50 51 51 0 27 1.509362
0 52 53 53 0 28 1.498935
0 54 55 55 0 29 1.487142
0 56 57 57 0 30 1.477634
0 58 59 59 0 31 1.463594
0 60 61 61 0 32 1.461353
0 62 64 63 0 33 1.451447
0 65 67 66 0 34 1.436191
0 68 70 69 0 35 1.422464
0 71 73 72 0 36 1.415800
0 74 76 75 0 37 1.400058
0 77 79 78 0 38 1.390729
0 80 82 81 0 39 1.379450
0 83 85 84 0 40 1.369602
0 86 88 87 0 41 1.359025
0 89 91 90 0 42 1.352892
0 92 94 93 0 43 1.345064
0 95 97 96 0 44 1.327801
0 98 100 99 0 45 1.327475
0 101 103 102 0 46 1.323176
0 104 109 107 0 47 1.315307
0 110 115 113 0 48 1.302257
0 116 121 119 0 49 1.292049
0 122 127 125 0 50 1.279589
0 128 133 131 0 51 1.272301
0 134 139 137 0 52 1.266540
0 140 145 143 0 53 1.255489
0 146 151 149 0 54 1.250034
0 152 157 155 0 55 1.238911
0 158 163 161 0 56 1.233662
0 164 169 167 0 57 1.231574
0 170 175 173 0 58 1.222924
0 176 181 179 0 59 1.208944
0 182 187 185 0 60 1.206035
0 188 193 191 0 61 1.204024
0 194 254 224 0 62 1.187110
0 255 255 255 0 63 1.175911
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 1 15 8 1 1 1.924697
1 16 16 16 1 2 1.935115
1 17 17 17 1 3 1.924122
1 18 18 18 1 4 1.914772
1 19 19 19 1 5 1.903920
1 20 20 20 1 6 1.903322
1 21 21 21 1 7 1.897590
1 22 22 22 1 8 1.898998
1 23 23 23 1 9 1.875382
1 24 24 24 1 10 1.854869
1 25 25 25 1 11 1.849281
1 26 26 26 1 12 1.817406
1 27 27 27 1 13 1.799669
1 28 28 28 1 14 1.774652
1 29 29 29 1 15 1.759822
