# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 15 15 0 0 1.994304   # ieta [1], pt 0
0 16 16 16 0 1 1.962172
0 17 17 17 0 2 1.946192
0 18 18 18 0 3 1.933568
0 19 19 19 0 4 1.908340
0 20 20 20 0 5 1.904801
0 21 21 21 0 6 1.884817
0 22 22 22 0 7 1.871490
0 23 23 23 0 8 1.859045
0 24 24 24 0 9 1.838934
0 25 25 25 0 10 1.828045
0 26 26 26 0 11 1.812832
0 27 27 27 0 12 1.794859
0 28 28 28 0 13 1.788750
0 29 29 29 0 14 1.778771
0 30 30 30 0 15 1.766678
0 31 31 31 0 16 1.752343
0 32 32 32 0 17 1.744620
0 33 33 33 0 18 1.735903
0 34 34 34 0 19 1.723421
0 35 35 35 0 20 1.710533
0 36 36 36 0 21 1.701362
0 37 37 37 0 22 1.684648
0 38 38 38 0 23 1.675949
0 39 39 39 0 24 1.668590
0 40 40 40 0 25 1.668352
0 41 41 41 0 26 1.654165
0 42 42 42 0 27 1.650324
0 43 43 43 0 28 1.639010
0 44 44 44 0 29 1.630103
0 45 45 45 0 30 1.622364
0 46 46 46 0 31 1.616199
0 47 47 47 0 32 1.608925
0 48 48 48 0 33 1.598541
0 49 49 49 0 34 1.591402
0 50 50 50 0 35 1.583152
0 51 51 51 0 36 1.581036
0 52 52 52 0 37 1.575008
0 53 53 53 0 38 1.569326
0 54 54 54 0 39 1.561906
0 55 55 55 0 40 1.558030
0 56 56 56 0 41 1.554191
0 57 59 58 0 42 1.543762
0 60 61 61 0 43 1.528299
0 62 64 63 0 44 1.512701
0 65 68 67 0 45 1.495446
0 69 71 70 0 46 1.481511
0 72 75 74 0 47 1.465830
0 76 81 79 0 48 1.452250
0 82 84 83 0 49 1.437238
0 85 90 88 0 50 1.421664
0 91 96 94 0 51 1.406466
0 97 101 99 0 52 1.392230
0 102 107 105 0 53 1.379519
0 108 115 112 0 54 1.365462
0 116 121 119 0 55 1.351079
0 122 131 127 0 56 1.336520
