# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
0 1 19 10 0 1 1.929525
0 20 20 20 0 2 1.918087
0 21 21 21 0 3 1.907196
0 22 25 24 0 4 1.873139
0 26 29 28 0 5 1.817654
0 30 34 32 0 6 1.767262
0 35 40 38 0 7 1.717304
0 41 48 45 0 8 1.658785
0 49 58 54 0 9 1.597261
0 59 71 65 0 10 1.534442
0 72 88 80 0 11 1.472923
0 89 113 101 0 12 1.411348
0 114 155 135 0 13 1.344182
0 156 254 205 0 14 1.268918
0 255 255 255 0 15 1.234261
1 0 0 0 1 0 1.000000   # ieta [6, 7, 8, 9], pt 0
1 1 19 10 1 1 2.011217
1 20 20 20 1 2 1.995115
1 21 21 21 1 3 1.984288
1 22 25 24 1 4 1.939369
1 26 29 28 1 5 1.880003
1 30 34 32 1 6 1.823855
1 35 40 38 1 7 1.764597
1 41 48 45 1 8 1.696227
1 49 58 54 1 9 1.630720
1 59 71 65 1 10 1.563931
1 72 88 80 1 11 1.498005
1 89 113 101 1 12 1.433031
1 114 155 135 1 13 1.361403
1 156 254 205 1 14 1.281552
1 255 255 255 1 15 1.249169
2 0 0 0 2 0 1.000000   # ieta [10, 11, 12, 13], pt 0
2 1 19 10 2 1 2.127620
2 20 20 20 2 2 2.102683
2 21 21 21 2 3 2.087295
2 22 25 24 2 4 2.037284
2 26 29 28 2 5 1.971467
2 30 34 32 2 6 1.901845
2 35 40 38 2 7 1.838118
2 41 48 45 2 8 1.765271
2 49 58 54 2 9 1.686776
2 59 71 65 2 10 1.612673
2 72 88 80 2 11 1.538453
2 89 113 101 2 12 1.466320
2 114 155 135 2 13 1.388490
2 156 254 205 2 14 1.301505
2 255 255 255 2 15 1.266330
3 0 0 0 3 0 1.000000   # ieta [14, 15], pt 0
3 1 19 10 3 1 2.303586
3 20 20 20 3 2 2.287488
3 21 21 21 3 3 2.266866
3 22 25 24 3 4 2.206944
3 26 29 28 3 5 2.125043
3 30 34 32 3 6 2.040961
3 35 40 38 3 7 1.960943
3 41 48 45 3 8 1.874226
3 49 58 54 3 9 1.784303
3 59 71 65 3 10 1.700191
3 72 88 80 3 11 1.617558
3 89 113 101 3 12 1.534024
3 114 155 135 3 13 1.447223
3 156 254 205 3 14 1.350817
3 255 255 255 3 15 1.312106
4 0 0 0 4 0 1.000000   # ieta [16, 17], pt 0
4 1 19 10 4 1 2.403350
4 20 20 20 4 2 2.387688
4 21 21 21 4 3 2.362931
4 22 25 24 4 4 2.300195
4 26 29 28 4 5 2.205006
4 30 34 32 4 6 2.126625
4 35 40 38 4 7 2.050062
4 41 48 45 4 8 1.965964
4 49 58 54 4 9 1.875642
4 59 71 65 4 10 1.796499
4 72 88 80 4 11 1.710194
4 89 113 101 4 12 1.623908
4 114 155 135 4 13 1.536949
4 156 254 205 4 14 1.443567
4 255 255 255 4 15 1.405791
5 0 0 0 5 0 1.000000   # ieta [18, 19], pt 0
5 1 19 10 5 1 2.240228
5 20 20 20 5 2 2.219108
5 21 21 21 5 3 2.201744
5 22 25 24 5 4 2.143823
5 26 29 28 5 5 2.057222
5 30 34 32 5 6 1.965726
5 35 40 38 5 7 1.892652
5 41 48 45 5 8 1.804374
5 49 58 54 5 9 1.715810
5 59 71 65 5 10 1.633834
5 72 88 80 5 11 1.554172
5 89 113 101 5 12 1.479402
5 114 155 135 5 13 1.393052
5 156 254 205 5 14 1.301759
5 255 255 255 5 15 1.263011
6 0 0 0 6 0 1.000000   # ieta [20, 21], pt 0
6 1 19 10 6 1 2.190278
6 20 20 20 6 2 2.153897
6 21 21 21 6 3 2.126226
6 22 25 24 6 4 2.062131
6 26 29 28 6 5 1.964874
6 30 34 32 6 6 1.878370
6 35 40 38 6 7 1.803763
6 41 48 45 6 8 1.725000
6 49 58 54 6 9 1.652250
6 59 71 65 6 10 1.573997
6 72 88 80 6 11 1.498375
6 89 113 101 6 12 1.422688
6 114 155 135 6 13 1.343075
6 156 254 205 6 14 1.254376
6 255 255 255 6 15 1.216542
7 0 0 0 7 0 1.000000   # ieta [22], pt 0
7 1 19 10 7 1 2.113355
7 20 20 20 7 2 2.063059
7 21 21 21 7 3 2.032162
7 22 25 24 7 4 1.969300
7 26 29 28 7 5 1.872035
7 30 34 32 7 6 1.793512
7 35 40 38 7 7 1.724803
7 41 48 45 7 8 1.646106
7 49 58 54 7 9 1.570350
7 59 71 65 7 10 1.506691
7 72 88 80 7 11 1.435246
7 89 113 101 7 12 1.362241
7 114 155 135 7 13 1.293672
7 156 254 205 7 14 1.209237
7 255 255 255 7 15 1.173767
8 0 0 0 8 0 1.000000   # ieta [23], pt 0
8 1 19 10 8 1 1.950856
8 20 20 20 8 2 1.910713
8 21 21 21 8 3 1.886310
8 22 25 24 8 4 1.837570
8 26 29 28 8 5 1.766468
8 30 34 32 8 6 1.707184
8 35 40 38 8 7 1.648827
8 41 48 45 8 8 1.568048
8 49 58 54 8 9 1.488003
8 59 71 65 8 10 1.431037
8 72 88 80 8 11 1.375267
8 89 113 101 8 12 1.309271
8 114 155 135 8 13 1.241660
8 156 254 205 8 14 1.170817
8 255 255 255 8 15 1.140723
9 0 0 0 9 0 1.000000   # ieta [24], pt 0
9 1 19 10 9 1 1.388598
9 20 20 20 9 2 1.365479
9 21 21 21 9 3 1.348073
9 22 25 24 9 4 1.298086
9 26 29 28 9 5 1.279691
9 30 34 32 9 6 1.255190
9 35 40 38 9 7 1.245018
9 41 48 45 9 8 1.234850
9 49 58 54 9 9 1.218581
9 59 71 65 9 10 1.188994
9 72 88 80 9 11 1.173453
9 89 113 101 9 12 1.131709
9 114 155 135 9 13 1.096665
9 156 254 205 9 14 1.060271
9 255 255 255 9 15 1.045254
10 0 0 0 10 0 1.000000   # ieta [25], pt 0
10 1 19 10 10 1 1.270226
10 20 20 20 10 2 1.259537
10 21 21 21 10 3 1.241208
10 22 25 24 10 4 1.210254
10 26 29 28 10 5 1.166596
10 30 34 32 10 6 1.140922
10 35 40 38 10 7 1.131844
10 41 48 45 10 8 1.125852
10 49 58 54 10 9 1.121054
10 59 71 65 10 10 1.109626
10 72 88 80 10 11 1.077216
10 89 113 101 10 12 1.057146
10 114 155 135 10 13 1.030348
10 156 254 205 10 14 0.991914
10 255 255 255 10 15 0.976766
11 0 0 0 11 0 1.000000   # ieta [26], pt 0
11 1 19 10 11 1 1.020572
11 20 20 20 11 2 1.014862
11 21 21 21 11 3 0.985979
11 22 25 24 11 4 0.963878
11 26 29 28 11 5 0.935265
11 30 34 32 11 6 0.923871
11 35 40 38 11 7 0.924258
11 41 48 45 11 8 0.928823
11 49 58 54 11 9 0.934841
11 59 71 65 11 10 0.930395
11 72 88 80 11 11 0.915919
11 89 113 101 11 12 0.888697
11 114 155 135 11 13 0.862856
11 156 254 205 11 14 0.831979
11 255 255 255 11 15 0.820085
12 0 0 0 12 0 1.000000   # ieta [27, 28], pt 0
12 1 19 10 12 1 0.948258
12 20 20 20 12 2 0.921597
12 21 21 21 12 3 0.882094
12 22 25 24 12 4 0.826980
12 26 29 28 12 5 0.773816
12 30 34 32 12 6 0.737562
12 35 40 38 12 7 0.709818
12 41 48 45 12 8 0.694437
12 49 58 54 12 9 0.685799
12 59 71 65 12 10 0.679122
12 72 88 80 12 11 0.667549
12 89 113 101 12 12 0.638747
12 114 155 135 12 13 0.607129
12 156 254 205 12 14 0.578873
12 255 255 255 12 15 0.572885
13 0 0 0 13 0 1.000000   # ieta [29, 30, 31], pt 0
13 1 19 10 13 1 1.092151
13 20 20 20 13 2 1.062677
13 21 21 21 13 3 1.039351
13 22 25 24 13 4 0.985988
13 26 29 28 13 5 0.929445
13 30 34 32 13 6 0.906195
13 35 40 38 13 7 0.892594
13 41 48 45 13 8 0.886812
13 49 58 54 13 9 0.888026
13 59 71 65 13 10 0.897057
13 72 88 80 13 11 0.904357
13 89 113 101 13 12 0.908116
13 114 155 135 13 13 0.909455
13 156 254 205 13 14 0.897578
13 255 255 255 13 15 0.865125
14 0 0 0 14 0 1.000000   # ieta [32, 33, 34, 35], pt 0
14 1 19 10 14 1 1.026716
14 20 20 20 14 2 1.001976
14 21 21 21 14 3 0.979776
14 22 25 24 14 4 0.928050
14 26 29 28 14 5 0.872719
14 30 34 32 14 6 0.853764
14 35 40 38 14 7 0.830515
14 41 48 45 14 8 0.821039
14 49 58 54 14 9 0.818116
14 59 71 65 14 10 0.826967
14 72 88 80 14 11 0.832660
14 89 113 101 14 12 0.827776
14 114 155 135 14 13 0.815183
14 156 254 205 14 14 0.793508
14 255 255 255 14 15 0.771969
15 0 0 0 15 0 1.000000   # ieta [36, 37, 38, 39, 40], pt 0
15 1 19 10 15 1 1.085962
15 20 20 20 15 2 1.046959
15 21 21 21 15 3 1.023843
15 22 25 24 15 4 0.970185
15 26 29 28 15 5 0.911090
15 30 34 32 15 6 0.882409
15 35 40 38 15 7 0.842537
15 41 48 45 15 8 0.827778
15 49 58 54 15 9 0.820110
15 59 71 65 15 10 0.817800
15 72 88 80 15 11 0.808810
15 89 113 101 15 12 0.799471
15 114 155 135 15 13 0.776079
15 156 254 205 15 14 0.764213
15 255 255 255 15 15 0.754422
