# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
0 1 19 10 0 1 2.109043
0 20 20 20 0 2 2.022322
0 21 21 21 0 3 2.016381
0 22 25 24 0 4 1.963150
0 26 29 28 0 5 1.909502
0 30 34 32 0 6 1.858430
0 35 40 38 0 7 1.801351
0 41 48 45 0 8 1.730427
0 49 58 54 0 9 1.665697
0 59 71 65 0 10 1.596671
0 72 88 80 0 11 1.529019
0 89 113 101 0 12 1.465104
0 114 155 135 0 13 1.400692
0 156 254 205 0 14 1.323189
0 255 255 255 0 15 1.292472
1 0 0 0 1 0 1.000000   # ieta [6, 7, 8, 9], pt 0
1 1 19 10 1 1 2.182471
1 20 20 20 1 2 2.096527
1 21 21 21 1 3 2.089943
1 22 25 24 1 4 2.028238
1 26 29 28 1 5 1.961023
1 30 34 32 1 6 1.903024
1 35 40 38 1 7 1.839389
1 41 48 45 1 8 1.762586
1 49 58 54 1 9 1.692530
1 59 71 65 1 10 1.622858
1 72 88 80 1 11 1.552029
1 89 113 101 1 12 1.482407
1 114 155 135 1 13 1.411533
1 156 254 205 1 14 1.334589
1 255 255 255 1 15 1.304619
2 0 0 0 2 0 1.000000   # ieta [10, 11, 12, 13], pt 0
2 1 19 10 2 1 2.333364
2 20 20 20 2 2 2.224577
2 21 21 21 2 3 2.213129
2 22 25 24 2 4 2.141887
2 26 29 28 2 5 2.067509
2 30 34 32 2 6 1.995528
2 35 40 38 2 7 1.915911
2 41 48 45 2 8 1.838075
2 49 58 54 2 9 1.763402
2 59 71 65 2 10 1.680680
2 72 88 80 2 11 1.602445
2 89 113 101 2 12 1.525142
2 114 155 135 2 13 1.445584
2 156 254 205 2 14 1.359207
2 255 255 255 2 15 1.325507
3 0 0 0 3 0 1.000000   # ieta [14, 15], pt 0
3 1 19 10 3 1 2.505669
3 20 20 20 3 2 2.370100
3 21 21 21 3 3 2.362347
3 22 25 24 3 4 2.294028
3 26 29 28 3 5 2.223585
3 30 34 32 3 6 2.143024
3 35 40 38 3 7 2.049310
3 41 48 45 3 8 1.961048
3 49 58 54 3 9 1.866768
3 59 71 65 3 10 1.776527
3 72 88 80 3 11 1.692508
3 89 113 101 3 12 1.603973
3 114 155 135 3 13 1.513404
3 156 254 205 3 14 1.419497
3 255 255 255 3 15 1.383203
4 0 0 0 4 0 1.000000   # ieta [16, 17], pt 0
4 1 19 10 4 1 2.577165
4 20 20 20 4 2 2.442296
4 21 21 21 4 3 2.434307
4 22 25 24 4 4 2.375593
4 26 29 28 4 5 2.302438
4 30 34 32 4 6 2.212495
4 35 40 38 4 7 2.113019
4 41 48 45 4 8 2.028457
4 49 58 54 4 9 1.937750
4 59 71 65 4 10 1.841476
4 72 88 80 4 11 1.761690
4 89 113 101 4 12 1.678654
4 114 155 135 4 13 1.592773
4 156 254 205 4 14 1.490646
4 255 255 255 4 15 1.453559
5 0 0 0 5 0 1.000000   # ieta [18, 19], pt 0
5 1 19 10 5 1 2.434093
5 20 20 20 5 2 2.296736
5 21 21 21 5 3 2.288326
5 22 25 24 5 4 2.213729
5 26 29 28 5 5 2.128874
5 30 34 32 5 6 2.044457
5 35 40 38 5 7 1.957338
5 41 48 45 5 8 1.860655
5 49 58 54 5 9 1.772788
5 59 71 65 5 10 1.683795
5 72 88 80 5 11 1.606602
5 89 113 101 5 12 1.528390
5 114 155 135 5 13 1.438227
5 156 254 205 5 14 1.346230
5 255 255 255 5 15 1.309545
6 0 0 0 6 0 1.000000   # ieta [20, 21], pt 0
6 1 19 10 6 1 2.387602
6 20 20 20 6 2 2.240487
6 21 21 21 6 3 2.231396
6 22 25 24 6 4 2.153801
6 26 29 28 6 5 2.061782
6 30 34 32 6 6 1.968299
6 35 40 38 6 7 1.887585
