# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 2.198967
0 16 16 16 0 2 2.167262
0 17 17 17 0 3 2.146309
0 18 18 18 0 4 2.126630
0 19 19 19 0 5 2.136881
0 20 20 20 0 6 2.123691
0 21 21 21 0 7 2.098842
0 22 22 22 0 8 2.108233
0 23 23 23 0 9 2.087709
0 24 24 24 0 10 2.062529
0 25 25 25 0 11 2.056514
0 26 26 26 0 12 2.061553
0 27 27 27 0 13 2.035558
0 28 28 28 0 14 2.034407
0 29 29 29 0 15 2.015004
0 30 30 30 0 16 2.008232
0 31 31 31 0 17 1.980203
0 32 33 33 0 18 1.972868
0 34 35 35 0 19 1.956515
0 36 37 37 0 20 1.904241
0 38 39 39 0 21 1.879759
0 40 41 41 0 22 1.857822
0 42 43 43 0 23 1.834860
0 44 45 45 0 24 1.806486
0 46 47 47 0 25 1.790630
0 48 49 49 0 26 1.782572
0 50 51 51 0 27 1.759613
0 52 53 53 0 28 1.754456
0 54 55 55 0 29 1.730484
0 56 57 57 0 30 1.729448
0 58 59 59 0 31 1.715737
0 60 61 61 0 32 1.699120
0 62 64 63 0 33 1.688458
0 65 67 66 0 34 1.670225
0 68 70 69 0 35 1.657912
0 71 73 72 0 36 1.649064
0 74 76 75 0 37 1.630700
0 77 79 78 0 38 1.624471
0 80 82 81 0 39 1.618114
0 83 85 84 0 40 1.601203
0 86 88 87 0 41 1.600784
0 89 91 90 0 42 1.586267
0 92 94 93 0 43 1.579278
0 95 97 96 0 44 1.572622
0 98 100 99 0 45 1.567458
0 101 103 102 0 46 1.556729
0 104 109 107 0 47 1.544790
0 110 115 113 0 48 1.532897
0 116 121 119 0 49 1.523977
0 122 127 125 0 50 1.506751
0 128 133 131 0 51 1.495346
0 134 139 137 0 52 1.493210
0 140 145 143 0 53 1.487460
0 146 151 149 0 54 1.476879
0 152 157 155 0 55 1.474140
0 158 163 161 0 56 1.466902
0 164 169 167 0 57 1.459894
0 170 175 173 0 58 1.454770
0 176 181 179 0 59 1.447449
0 182 187 185 0 60 1.446382
0 188 193 191 0 61 1.432358
0 194 254 224 0 62 1.415800
0 255 255 255 0 63 1.395262
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 1 15 8 1 1 2.250470
1 16 16 16 1 2 2.213326
1 17 17 17 1 3 2.199038
1 18 18 18 1 4 2.197271
1 19 19 19 1 5 2.191798
1 20 20 20 1 6 2.157002
1 21 21 21 1 7 2.128228
1 22 22 22 1 8 2.138214
1 23 23 23 1 9 2.118922
1 24 24 24 1 10 2.091539
1 25 25 25 1 11 2.077609
1 26 26 26 1 12 2.076170
1 27 27 27 1 13 2.049138
1 28 28 28 1 14 2.047366
1 29 29 29 1 15 2.027838
1 30 30 30 1 16 2.017466
1 31 31 31 1 17 1.990676
1 32 33 33 1 18 1.977924
1 34 35 35 1 19 1.960505
1 36 37 37 1 20 1.914294
1 38 39 39 1 21 1.897982
1 40 41 41 1 22 1.868834
1 42 43 43 1 23 1.843986
1 44 45 45 1 24 1.816324
1 46 47 47 1 25 1.799951
1 48 49 49 1 26 1.791826
1 50 51 51 1 27 1.768723
1 52 53 53 1 28 1.762490
1 54 55 55 1 29 1.739649
1 56 57 57 1 30 1.739145
1 58 59 59 1 31 1.725978
1 60 61 61 1 32 1.709885
1 62 64 63 1 33 1.700397
1 65 67 66 1 34 1.681211
1 68 70 69 1 35 1.668817
1 71 73 72 1 36 1.658814
1 74 76 75 1 37 1.639797
1 77 79 78 1 38 1.633533
1 80 82 81 1 39 1.627140
1 83 85 84 1 40 1.610136
1 86 88 87 1 41 1.609714
1 89 91 90 1 42 1.594842
1 92 94 93 1 43 1.587815
1 95 97 96 1 44 1.581123
1 98 100 99 1 45 1.575931
1 101 103 102 1 46 1.565331
1 104 109 107 1 47 1.553525
1 110 115 113 1 48 1.541389
1 116 121 119 1 49 1.532420
1 122 127 125 1 50 1.514875
1 128 133 131 1 51 1.502020
1 134 139 137 1 52 1.499735
1 140 145 143 1 53 1.493569
1 146 151 149 1 54 1.482502
1 152 157 155 1 55 1.479649
1 158 163 161 1 56 1.472385
1 164 169 167 1 57 1.465350
1 170 175 173 1 58 1.460207
1 176 181 179 1 59 1.452859
1 182 187 185 1 60 1.451787
1 188 193 191 1 61 1.437712
1 194 254 224 1 62 1.420846
1 255 255 255 1 63 1.400140
2 0 0 0 2 0 1.000000   # ieta [3], pt 0
2 1 15 8 2 1 2.249850
2 16 16 16 2 2 2.212717
2 17 17 17 2 3 2.198432
2 18 18 18 2 4 2.196666
2 19 19 19 2 5 2.191798
2 20 20 20 2 6 2.157002
2 21 21 21 2 7 2.129323
2 22 22 22 2 8 2.139315
2 23 23 23 2 9 2.120012
2 24 24 24 2 10 2.092616
2 25 25 25 2 11 2.078678
2 26 26 26 2 12 2.077239
2 27 27 27 2 13 2.050193
2 28 28 28 2 14 2.048420
2 29 29 29 2 15 2.028882
2 30 30 30 2 16 2.018505
2 31 31 31 2 17 1.991701
2 32 33 33 2 18 1.977508
2 34 35 35 2 19 1.960093
2 36 37 37 2 20 1.913892
2 38 39 39 2 21 1.897583
2 40 41 41 2 22 1.868441
2 42 43 43 2 23 1.844057
2 44 45 45 2 24 1.816848
2 46 47 47 2 25 1.800471
2 48 49 49 2 26 1.792344
2 50 51 51 2 27 1.769925
2 52 53 53 2 28 1.764765
2 54 55 55 2 29 1.742968
2 56 57 57 2 30 1.742802
2 58 59 59 2 31 1.730990
2 60 61 61 2 32 1.715167
2 62 64 63 2 33 1.705650
2 65 67 66 2 34 1.686405
2 68 70 69 2 35 1.673417
2 71 73 72 2 36 1.663341
2 74 76 75 2 37 1.644388
2 77 79 78 2 38 1.638106
2 80 82 81 2 39 1.631696
2 83 85 84 2 40 1.614013
2 86 88 87 2 41 1.613135
2 89 91 90 2 42 1.597543
2 92 94 93 2 43 1.589883
2 95 97 96 2 44 1.582988
2 98 100 99 2 45 1.577403
2 101 103 102 2 46 1.566602
2 104 109 107 2 47 1.554787
2 110 115 113 2 48 1.542640
2 116 121 119 2 49 1.533664
2 122 127 125 2 50 1.515418
2 128 133 131 2 51 1.502605
2 134 139 137 2 52 1.500319
2 140 145 143 2 53 1.494150
2 146 151 149 2 54 1.483079
2 152 157 155 2 55 1.480225
2 158 163 161 2 56 1.472958
2 164 169 167 2 57 1.465921
2 170 175 173 2 58 1.460776
2 176 181 179 2 59 1.453425
2 182 187 185 2 60 1.452353
2 188 193 191 2 61 1.437929
2 194 254 224 2 62 1.420928
2 255 255 255 2 63 1.400140
3 0 0 0 3 0 1.000000   # ieta [4], pt 0
3 1 15 8 3 1 2.259120
3 16 16 16 3 2 2.222960
3 17 17 17 3 3 2.212792
3 18 18 18 3 4 2.211014
3 19 19 19 3 5 2.200079
3 20 20 20 3 6 2.166337
3 21 21 21 3 7 2.138538
3 22 22 22 3 8 2.147373
3 23 23 23 3 9 2.124463
3 24 24 24 3 10 2.093048
3 25 25 25 3 11 2.079108
3 26 26 26 3 12 2.077668
3 27 27 27 3 13 2.050617
3 28 28 28 3 14 2.048843
3 29 29 29 3 15 2.029302
3 30 30 30 3 16 2.019294
3 31 31 31 3 17 1.993293
3 32 33 33 3 18 1.981511
3 34 35 35 3 19 1.963198
3 36 37 37 3 20 1.918141
3 38 39 39 3 21 1.902632
3 40 41 41 3 22 1.874511
3 42 43 43 3 23 1.850297
3 44 45 45 3 24 1.822996
3 46 47 47 3 25 1.806185
3 48 49 49 3 26 1.798032
3 50 51 51 3 27 1.775542
3 52 53 53 3 28 1.770366
3 54 55 55 3 29 1.748178
3 56 57 57 3 30 1.747700
3 58 59 59 3 31 1.734245
3 60 61 61 3 32 1.717489
3 62 64 63 3 33 1.707499
3 65 67 66 3 34 1.688233
3 68 70 69 3 35 1.675232
3 71 73 72 3 36 1.665406
3 74 76 75 3 37 1.646559
3 77 79 78 3 38 1.640269
3 80 82 81 3 39 1.633850
3 83 85 84 3 40 1.616144
3 86 88 87 3 41 1.615265
3 89 91 90 3 42 1.599653
3 92 94 93 3 43 1.591983
3 95 97 96 3 44 1.585078
3 98 100 99 3 45 1.579486
3 101 103 102 3 46 1.570849
3 104 109 107 3 47 1.558087
3 110 115 113 3 48 1.545915
3 116 121 119 3 49 1.536620
3 122 127 125 3 50 1.518339
3 128 133 131 3 51 1.505501
3 134 139 137 3 52 1.503211
3 140 145 143 3 53 1.497030
3 146 151 149 3 54 1.485938
3 152 157 155 3 55 1.483079
3 158 163 161 3 56 1.475797
3 164 169 167 3 57 1.468746
3 170 175 173 3 58 1.463010
3 176 181 179 3 59 1.454912
3 182 187 185 3 60 1.453838
3 188 193 191 3 61 1.439060
3 194 254 224 3 62 1.422046
3 255 255 255 3 63 1.401241
4 0 0 0 4 0 1.000000   # ieta [5], pt 0
4 1 15 8 4 1 2.286138
4 16 16 16 4 2 2.257967
4 17 17 17 4 3 2.247638
4 18 18 18 4 4 2.245833
4 19 19 19 4 5 2.234918
4 20 20 20 4 6 2.185052
4 21 21 21 4 7 2.163182
4 22 22 22 4 8 2.165322
4 23 23 23 4 9 2.143381
4 24 24 24 4 10 2.109766
4 25 25 25 4 11 2.082572
4 26 26 26 4 12 2.081130
4 27 27 27 4 13 2.054033
4 28 28 28 4 14 2.052257
4 29 29 29 4 15 2.032683
4 30 30 30 4 16 2.022658
4 31 31 31 4 17 1.996615
4 32 33 33 4 18 1.984813
4 34 35 35 4 19 1.966389
4 36 37 37 4 20 1.921179
4 38 39 39 4 21 1.904653
4 40 41 41 4 22 1.875498
4 42 43 43 4 23 1.851272
4 44 45 45 4 24 1.821407
4 46 47 47 4 25 1.806508
4 48 49 49 4 26 1.798276
4 50 51 51 4 27 1.775706
4 52 53 53 4 28 1.770530
4 54 55 55 4 29 1.748839
4 56 57 57 4 30 1.748475
4 58 59 59 4 31 1.735015
4 60 61 61 4 32 1.718251
4 62 64 63 4 33 1.708257
4 65 67 66 4 34 1.688982
4 68 70 69 4 35 1.675975
4 71 73 72 4 36 1.666145
4 74 76 75 4 37 1.647290
4 77 79 78 4 38 1.640997
4 80 82 81 4 39 1.634575
