# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 2.023666
0 16 16 16 0 2 2.031251
0 17 17 17 0 3 2.004182
0 18 18 18 0 4 1.994763
0 19 19 19 0 5 2.001355
0 20 20 20 0 6 1.995346
0 21 21 21 0 7 1.979209
0 22 22 22 0 8 1.983449
0 23 23 23 0 9 1.955494
0 24 24 24 0 10 1.947462
0 25 25 25 0 11 1.938979
0 26 26 26 0 12 1.929202
0 27 27 27 0 13 1.905873
0 28 28 28 0 14 1.897196
0 29 29 29 0 15 1.885776
0 30 30 30 0 16 1.882227
0 31 31 31 0 17 1.864497
0 32 33 33 0 18 1.852470
0 34 35 35 0 19 1.829583
0 36 37 37 0 20 1.796457
0 38 39 39 0 21 1.784388
0 40 41 41 0 22 1.773497
0 42 43 43 0 23 1.756120
0 44 45 45 0 24 1.727366
0 46 47 47 0 25 1.718721
0 48 49 49 0 26 1.703076
0 50 51 51 0 27 1.691936
0 52 53 53 0 28 1.681272
0 54 55 55 0 29 1.670002
0 56 57 57 0 30 1.644656
0 58 59 59 0 31 1.630457
0 60 61 61 0 32 1.628627
0 62 64 63 0 33 1.618034
0 65 67 66 0 34 1.599142
0 68 70 69 0 35 1.581256
0 71 73 72 0 36 1.579596
0 74 76 75 0 37 1.562983
0 77 79 78 0 38 1.554806
0 80 82 81 0 39 1.544787
0 83 85 84 0 40 1.536016
0 86 88 87 0 41 1.528063
0 89 91 90 0 42 1.524601
0 92 94 93 0 43 1.519163
0 95 97 96 0 44 1.510017
0 98 100 99 0 45 1.508720
0 101 103 102 0 46 1.495750
0 104 109 107 0 47 1.489529
0 110 115 113 0 48 1.471719
0 116 121 119 0 49 1.466751
0 122 127 125 0 50 1.461129
0 128 133 131 0 51 1.455414
0 134 139 137 0 52 1.444532
0 140 145 143 0 53 1.442641
0 146 151 149 0 54 1.430300
0 152 157 155 0 55 1.430126
0 158 163 161 0 56 1.426608
0 164 169 167 0 57 1.425320
0 170 175 173 0 58 1.414066
0 176 181 179 0 59 1.406039
0 182 187 185 0 60 1.391128
0 188 193 191 0 61 1.387454
0 194 254 224 0 62 1.371820
0 255 255 255 0 63 1.343715
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 1 15 8 1 1 2.096004
1 16 16 16 1 2 2.079093
1 17 17 17 1 3 2.043068
1 18 18 18 1 4 2.033522
1 19 19 19 1 5 2.039404
1 20 20 20 1 6 2.012956
1 21 21 21 1 7 2.019671
1 22 22 22 1 8 2.025502
1 23 23 23 1 9 2.005276
1 24 24 24 1 10 1.989673
1 25 25 25 1 11 1.980256
1 26 26 26 1 12 1.970272
1 27 27 27 1 13 1.945744
1 28 28 28 1 14 1.935163
1 29 29 29 1 15 1.923120
1 30 30 30 1 16 1.919502
1 31 31 31 1 17 1.895881
1 32 33 33 1 18 1.880955
1 34 35 35 1 19 1.857464
1 36 37 37 1 20 1.825830
1 38 39 39 1 21 1.807268
1 40 41 41 1 22 1.791073
1 42 43 43 1 23 1.771844
1 44 45 45 1 24 1.744362
1 46 47 47 1 25 1.731239
1 48 49 49 1 26 1.715855
1 50 51 51 1 27 1.703222
1 52 53 53 1 28 1.692698
1 54 55 55 1 29 1.681683
1 56 57 57 1 30 1.662665
1 58 59 59 1 31 1.651412
1 60 61 61 1 32 1.646736
1 62 64 63 1 33 1.635667
1 65 67 66 1 34 1.615593
1 68 70 69 1 35 1.606009
1 71 73 72 1 36 1.594985
1 74 76 75 1 37 1.577938
1 77 79 78 1 38 1.569683
1 80 82 81 1 39 1.559567
1 83 85 84 1 40 1.550713
1 86 88 87 1 41 1.542366
1 89 91 90 1 42 1.538710
1 92 94 93 1 43 1.533787
1 95 97 96 1 44 1.521101
1 98 100 99 1 45 1.519418
1 101 103 102 1 46 1.506276
1 104 109 107 1 47 1.499352
1 110 115 113 1 48 1.481192
1 116 121 119 1 49 1.475581
1 122 127 125 1 50 1.469925
1 128 133 131 1 51 1.464176
1 134 139 137 1 52 1.452038
1 140 145 143 1 53 1.449833
1 146 151 149 1 54 1.437031
1 152 157 155 1 55 1.436820
1 158 163 161 1 56 1.433285
1 164 169 167 1 57 1.431991
1 170 175 173 1 58 1.420684
1 176 181 179 1 59 1.412619
1 182 187 185 1 60 1.397639
1 188 193 191 1 61 1.393827
1 194 254 224 1 62 1.377699
1 255 255 255 1 63 1.349474
2 0 0 0 2 0 1.000000   # ieta [3], pt 0
2 1 15 8 2 1 2.097362
2 16 16 16 2 2 2.080440
2 17 17 17 2 3 2.046348
2 18 18 18 2 4 2.037215
2 19 19 19 2 5 2.043109
2 20 20 20 2 6 2.016712
2 21 21 21 2 7 2.023439
2 22 22 22 2 8 2.029417
2 23 23 23 2 9 2.006907
2 24 24 24 2 10 1.993264
2 25 25 25 2 11 1.983830
2 26 26 26 2 12 1.973828
2 27 27 27 2 13 1.948309
2 28 28 28 2 14 1.936802
2 29 29 29 2 15 1.924748
2 30 30 30 2 16 1.921127
2 31 31 31 2 17 1.897099
2 32 33 33 2 18 1.882163
2 34 35 35 2 19 1.858656
2 36 37 37 2 20 1.827003
2 38 39 39 2 21 1.808288
2 40 41 41 2 22 1.791746
2 42 43 43 2 23 1.772403
2 44 45 45 2 24 1.744557
2 46 47 47 2 25 1.731190
2 48 49 49 2 26 1.715694
2 50 51 51 2 27 1.703062
2 52 53 53 2 28 1.692710
2 54 55 55 2 29 1.682122
2 56 57 57 2 30 1.663099
2 58 59 59 2 31 1.651844
2 60 61 61 2 32 1.647166
2 62 64 63 2 33 1.636095
2 65 67 66 2 34 1.616015
2 68 70 69 2 35 1.606339
2 71 73 72 2 36 1.595313
2 74 76 75 2 37 1.578263
2 77 79 78 2 38 1.570006
2 80 82 81 2 39 1.559889
2 83 85 84 2 40 1.551032
2 86 88 87 2 41 1.542418
2 89 91 90 2 42 1.538762
2 92 94 93 2 43 1.533839
2 95 97 96 2 44 1.521152
2 98 100 99 2 45 1.519469
2 101 103 102 2 46 1.506326
2 104 109 107 2 47 1.499402
2 110 115 113 2 48 1.483573
2 116 121 119 2 49 1.475631
2 122 127 125 2 50 1.469974
2 128 133 131 2 51 1.464225
2 134 139 137 2 52 1.452087
2 140 145 143 2 53 1.449882
2 146 151 149 2 54 1.437079
2 152 157 155 2 55 1.436868
2 158 163 161 2 56 1.433333
2 164 169 167 2 57 1.432039
2 170 175 173 2 58 1.420732
2 176 181 179 2 59 1.412666
2 182 187 185 2 60 1.397686
2 188 193 191 2 61 1.393873
2 194 254 224 2 62 1.377745
2 255 255 255 2 63 1.349519
3 0 0 0 3 0 1.000000   # ieta [4], pt 0
3 1 15 8 3 1 2.111119
3 16 16 16 3 2 2.094086
3 17 17 17 3 3 2.059993
3 18 18 18 3 4 2.050799
3 19 19 19 3 5 2.056731
3 20 20 20 3 6 2.029940
3 21 21 21 3 7 2.036711
3 22 22 22 3 8 2.040902
3 23 23 23 3 9 2.013443
3 24 24 24 3 10 1.995448
3 25 25 25 3 11 1.983830
3 26 26 26 3 12 1.973828
3 27 27 27 3 13 1.948309
3 28 28 28 3 14 1.936802
3 29 29 29 3 15 1.924748
3 30 30 30 3 16 1.921127
3 31 31 31 3 17 1.897099
3 32 33 33 3 18 1.883034
3 34 35 35 3 19 1.860396
3 36 37 37 3 20 1.830149
3 38 39 39 3 21 1.811958
3 40 41 41 3 22 1.795714
3 42 43 43 3 23 1.776328
