# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 2.355748
0 16 16 16 0 2 2.336009
0 17 17 17 0 3 2.338651
0 18 18 18 0 4 2.317933
0 19 19 19 0 5 2.317014
0 20 20 20 0 6 2.306765
0 21 21 21 0 7 2.281145
0 22 22 22 0 8 2.259307
0 23 23 23 0 9 2.253154
0 24 24 24 0 10 2.210702
0 25 25 25 0 11 2.209526
0 26 26 26 0 12 2.179972
0 27 27 27 0 13 2.155087
0 28 28 28 0 14 2.145725
0 29 29 29 0 15 2.140297
0 30 30 30 0 16 2.100337
0 31 31 31 0 17 2.081561
0 32 33 33 0 18 2.034212
0 34 35 35 0 19 1.996326
0 36 37 37 0 20 1.974764
0 38 39 39 0 21 1.950461
0 40 41 41 0 22 1.904985
0 42 43 43 0 23 1.882303
0 44 45 45 0 24 1.873261
0 46 47 47 0 25 1.841395
0 48 49 49 0 26 1.826460
0 50 51 51 0 27 1.795106
0 52 53 53 0 28 1.784166
0 54 55 55 0 29 1.773064
0 56 57 57 0 30 1.758194
0 58 59 59 0 31 1.750961
0 60 61 61 0 32 1.749708
0 62 64 63 0 33 1.725127
0 65 67 66 0 34 1.707582
0 68 70 69 0 35 1.689921
0 71 73 72 0 36 1.673246
0 74 76 75 0 37 1.661903
0 77 79 78 0 38 1.639048
0 80 82 81 0 39 1.625903
0 83 85 84 0 40 1.612881
0 86 88 87 0 41 1.613885
0 89 91 90 0 42 1.603269
0 92 94 93 0 43 1.590173
0 95 97 96 0 44 1.584729
0 98 100 99 0 45 1.575514
0 101 103 102 0 46 1.558640
0 104 109 107 0 47 1.545308
0 110 115 113 0 48 1.530909
0 116 121 119 0 49 1.521445
0 122 127 125 0 50 1.496214
0 128 133 131 0 51 1.492104
0 134 139 137 0 52 1.485438
0 140 145 143 0 53 1.474093
0 146 151 149 0 54 1.471805
0 152 157 155 0 55 1.462694
0 158 163 161 0 56 1.457369
0 164 169 167 0 57 1.456618
0 170 175 173 0 58 1.443411
0 176 181 179 0 59 1.433202
0 182 187 185 0 60 1.429129
0 188 193 191 0 61 1.423653
0 194 254 224 0 62 1.392158
0 255 255 255 0 63 1.371804
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 1 15 8 1 1 2.505481
1 16 16 16 1 2 2.497612
1 17 17 17 1 3 2.442402
1 18 18 18 1 4 2.423544
1 19 19 19 1 5 2.405908
1 20 20 20 1 6 2.375925
1 21 21 21 1 7 2.341494
1 22 22 22 1 8 2.320353
1 23 23 23 1 9 2.311562
1 24 24 24 1 10 2.275080
1 25 25 25 1 11 2.252473
1 26 26 26 1 12 2.220085
1 27 27 27 1 13 2.196165
1 28 28 28 1 14 2.183009
1 29 29 29 1 15 2.164472
1 30 30 30 1 16 2.131082
1 31 31 31 1 17 2.112032
