# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 15 15 0 0 2.689833   # ieta [1], pt 0
0 16 16 16 0 1 2.627731
0 17 17 17 0 2 2.593225
0 18 18 18 0 3 2.550014
0 19 19 19 0 4 2.503399
0 20 20 20 0 5 2.473886
0 21 21 21 0 6 2.437698
0 22 22 22 0 7 2.400457
0 23 23 23 0 8 2.365935
0 24 24 24 0 9 2.335743
0 25 25 25 0 10 2.315071
0 26 26 26 0 11 2.289341
0 27 27 27 0 12 2.271764
0 28 28 28 0 13 2.239626
0 29 29 29 0 14 2.218289
0 30 30 30 0 15 2.209636
0 31 31 31 0 16 2.195381
0 32 32 32 0 17 2.176292
0 33 33 33 0 18 2.154703
0 34 34 34 0 19 2.142050
0 35 35 35 0 20 2.101340
0 36 36 36 0 21 2.103420
0 37 37 37 0 22 2.082265
0 38 38 38 0 23 2.062350
0 39 39 39 0 24 2.059370
0 40 40 40 0 25 2.044393
0 41 41 41 0 26 2.031217
0 42 42 42 0 27 2.020661
0 43 43 43 0 28 2.007022
0 44 44 44 0 29 1.996790
0 45 45 45 0 30 1.989744
0 46 46 46 0 31 1.970108
0 47 47 47 0 32 1.960869
0 48 48 48 0 33 1.945270
0 49 49 49 0 34 1.939463
0 50 50 50 0 35 1.928632
0 51 51 51 0 36 1.927459
0 52 52 52 0 37 1.917985
0 53 53 53 0 38 1.908706
0 54 54 54 0 39 1.899624
0 55 55 55 0 40 1.898324
0 56 56 56 0 41 1.880739
0 57 57 57 0 42 1.872944
0 58 58 58 0 43 1.868362
0 59 59 59 0 44 1.860632
0 60 62 61 0 45 1.846333
0 63 66 65 0 46 1.821188
0 67 70 69 0 47 1.794734
0 71 73 72 0 48 1.775304
0 74 77 76 0 49 1.761339
0 78 82 80 0 50 1.742208
0 83 88 86 0 51 1.717513
0 89 94 92 0 52 1.695338
0 95 100 98 0 53 1.675157
0 101 106 104 0 54 1.653910
0 107 115 111 0 55 1.632687
0 116 123 120 0 56 1.609845
0 124 133 129 0 57 1.590653
0 134 143 139 0 58 1.572040
0 144 156 150 0 59 1.551076
0 157 175 166 0 60 1.528537
0 176 194 185 0 61 1.505181
