# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
0 1 19 10 0 1 2.587427
0 20 20 20 0 2 2.552414
0 21 21 21 0 3 2.523930
0 22 25 24 0 4 2.450911
0 26 29 28 0 5 2.346680
0 30 34 32 0 6 2.249885
0 35 40 38 0 7 2.159428
0 41 48 45 0 8 2.061674
0 49 58 54 0 9 1.968158
0 59 71 65 0 10 1.876073
0 72 88 80 0 11 1.787086
0 89 113 101 0 12 1.702275
0 114 155 135 0 13 1.610830
0 156 254 205 0 14 1.509246
0 255 255 255 0 15 1.465198
1 0 0 0 1 0 1.000000   # ieta [6, 7, 8, 9], pt 0
1 1 19 10 1 1 2.636181
1 20 20 20 1 2 2.600908
1 21 21 21 1 3 2.570902
1 22 25 24 1 4 2.492733
1 26 29 28 1 5 2.387163
1 30 34 32 1 6 2.286979
1 35 40 38 1 7 2.190167
1 41 48 45 1 8 2.088940
1 49 58 54 1 9 1.992517
1 59 71 65 1 10 1.897577
1 72 88 80 1 11 1.806301
1 89 113 101 1 12 1.718356
1 114 155 135 1 13 1.624178
1 156 254 205 1 14 1.519998
1 255 255 255 1 15 1.476108
2 0 0 0 2 0 1.000000   # ieta [10, 11, 12, 13], pt 0
2 1 19 10 2 1 2.702940
2 20 20 20 2 2 2.669977
2 21 21 21 2 3 2.644913
2 22 25 24 2 4 2.567139
2 26 29 28 2 5 2.460645
2 30 34 32 2 6 2.350872
2 35 40 38 2 7 2.251517
2 41 48 45 2 8 2.143405
2 49 58 54 2 9 2.040061
2 59 71 65 2 10 1.941256
2 72 88 80 2 11 1.841993
2 89 113 101 2 12 1.746473
2 114 155 135 2 13 1.648156
2 156 254 205 2 14 1.536486
2 255 255 255 2 15 1.490289
3 0 0 0 3 0 1.000000   # ieta [14, 15], pt 0
3 1 19 10 3 1 2.858825
3 20 20 20 3 2 2.813047
3 21 21 21 3 3 2.786794
3 22 25 24 3 4 2.701813
3 26 29 28 3 5 2.585497
3 30 34 32 3 6 2.469489
3 35 40 38 3 7 2.366621
3 41 48 45 3 8 2.241646
3 49 58 54 3 9 2.121894
3 59 71 65 3 10 2.018011
3 72 88 80 3 11 1.916055
3 89 113 101 3 12 1.810927
3 114 155 135 3 13 1.702279
3 156 254 205 3 14 1.583871
3 255 255 255 3 15 1.537483
4 0 0 0 4 0 1.000000   # ieta [16, 17], pt 0
4 1 19 10 4 1 2.948681
4 20 20 20 4 2 2.892253
4 21 21 21 4 3 2.868705
4 22 25 24 4 4 2.776930
4 26 29 28 4 5 2.659102
4 30 34 32 4 6 2.557492
4 35 40 38 4 7 2.453193
4 41 48 45 4 8 2.329572
4 49 58 54 4 9 2.218098
4 59 71 65 4 10 2.116624
4 72 88 80 4 11 2.017846
4 89 113 101 4 12 1.913791
4 114 155 135 4 13 1.806274
4 156 254 205 4 14 1.689359
4 255 255 255 4 15 1.639724
5 0 0 0 5 0 1.000000   # ieta [18, 19], pt 0
5 1 19 10 5 1 2.666581
5 20 20 20 5 2 2.645762
5 21 21 21 5 3 2.623004
5 22 25 24 5 4 2.548851
5 26 29 28 5 5 2.433066
5 30 34 32 5 6 2.332522
5 35 40 38 5 7 2.238744
5 41 48 45 5 8 2.122530
5 49 58 54 5 9 2.011946
5 59 71 65 5 10 1.910899
5 72 88 80 5 11 1.817939
5 89 113 101 5 12 1.723003
5 114 155 135 5 13 1.623663
5 156 254 205 5 14 1.515068
5 255 255 255 5 15 1.468183
6 0 0 0 6 0 1.000000   # ieta [20, 21], pt 0
6 1 19 10 6 1 2.580705
6 20 20 20 6 2 2.535563
6 21 21 21 6 3 2.516826
6 22 25 24 6 4 2.437166
6 26 29 28 6 5 2.323837
6 30 34 32 6 6 2.223273
6 35 40 38 6 7 2.128535
6 41 48 45 6 8 2.019833
6 49 58 54 6 9 1.923072
6 59 71 65 6 10 1.830063
6 72 88 80 6 11 1.737187
6 89 113 101 6 12 1.654044
6 114 155 135 6 13 1.568320
6 156 254 205 6 14 1.457657
6 255 255 255 6 15 1.408186
7 0 0 0 7 0 1.000000   # ieta [22], pt 0
7 1 19 10 7 1 2.502981
7 20 20 20 7 2 2.452886
7 21 21 21 7 3 2.434054
7 22 25 24 7 4 2.333508
7 26 29 28 7 5 2.218932
7 30 34 32 7 6 2.124163
7 35 40 38 7 7 2.030530
7 41 48 45 7 8 1.919144
7 49 58 54 7 9 1.836919
7 59 71 65 7 10 1.750930
7 72 88 80 7 11 1.668672
7 89 113 101 7 12 1.591855
7 114 155 135 7 13 1.507236
7 156 254 205 7 14 1.406538
7 255 255 255 7 15 1.361330
8 0 0 0 8 0 1.000000   # ieta [23], pt 0
8 1 19 10 8 1 2.378502
8 20 20 20 8 2 2.333078
8 21 21 21 8 3 2.308594
8 22 25 24 8 4 2.205052
8 26 29 28 8 5 2.118587
8 30 34 32 8 6 2.024635
8 35 40 38 8 7 1.940999
8 41 48 45 8 8 1.846406
8 49 58 54 8 9 1.760218
8 59 71 65 8 10 1.681197
8 72 88 80 8 11 1.609272
8 89 113 101 8 12 1.534817
8 114 155 135 8 13 1.457669
8 156 254 205 8 14 1.360952
8 255 255 255 8 15 1.316292
9 0 0 0 9 0 1.000000   # ieta [24], pt 0
9 1 19 10 9 1 2.252304
9 20 20 20 9 2 2.197853
9 21 21 21 9 3 2.156071
9 22 25 24 9 4 2.045326
9 26 29 28 9 5 1.954544
9 30 34 32 9 6 1.877212
9 35 40 38 9 7 1.806370
9 41 48 45 9 8 1.722500
9 49 58 54 9 9 1.649373
9 59 71 65 9 10 1.582334
9 72 88 80 9 11 1.519777
9 89 113 101 9 12 1.440173
9 114 155 135 9 13 1.364605
9 156 254 205 9 14 1.279003
9 255 255 255 9 15 1.237305
10 0 0 0 10 0 1.000000   # ieta [25], pt 0
10 1 19 10 10 1 2.023458
