# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1, 2, 3, 4, 5], pt 0
0 15 19 17 0 1 2.806068
0 20 20 20 0 2 2.660087
0 21 21 21 0 3 2.629902
0 22 25 24 0 4 2.550109
0 26 29 28 0 5 2.445796
0 30 34 32 0 6 2.342437
0 35 40 38 0 7 2.243656
0 41 48 45 0 8 2.140787
0 49 58 54 0 9 2.040414
0 59 71 65 0 10 1.948062
0 72 88 80 0 11 1.858147
0 89 113 101 0 12 1.766249
0 114 155 135 0 13 1.677087
0 156 254 205 0 14 1.574697
0 255 255 255 0 15 1.538810
1 0 0 0 1 0 1.000000   # ieta [6, 7, 8, 9], pt 0
1 15 19 17 1 1 2.851003
1 20 20 20 1 2 2.704775
1 21 21 21 1 3 2.680220
1 22 25 24 1 4 2.594262
1 26 29 28 1 5 2.470801
1 30 34 32 1 6 2.365394
1 35 40 38 1 7 2.265425
1 41 48 45 1 8 2.159831
1 49 58 54 1 9 2.058059
1 59 71 65 1 10 1.965139
1 72 88 80 1 11 1.870988
1 89 113 101 1 12 1.776962
1 114 155 135 1 13 1.686071
1 156 254 205 1 14 1.579720
1 255 255 255 1 15 1.543381
2 0 0 0 2 0 1.000000   # ieta [10, 11, 12, 13], pt 0
2 15 19 17 2 1 2.946349
2 20 20 20 2 2 2.810915
2 21 21 21 2 3 2.781082
2 22 25 24 2 4 2.683252
2 26 29 28 2 5 2.552623
2 30 34 32 2 6 2.444131
2 35 40 38 2 7 2.338145
2 41 48 45 2 8 2.233126
2 49 58 54 2 9 2.121892
2 59 71 65 2 10 2.016117
2 72 88 80 2 11 1.914103
2 89 113 101 2 12 1.820651
2 114 155 135 2 13 1.718010
2 156 254 205 2 14 1.604775
2 255 255 255 2 15 1.570828
3 0 0 0 3 0 1.000000   # ieta [14, 15], pt 0
3 15 19 17 3 1 3.141972
3 20 20 20 3 2 2.982933
3 21 21 21 3 3 2.952974
3 22 25 24 3 4 2.839108
3 26 29 28 3 5 2.673080
3 30 34 32 3 6 2.570834
3 35 40 38 3 7 2.450353
3 41 48 45 3 8 2.340544
3 49 58 54 3 9 2.220498
3 59 71 65 3 10 2.116221
3 72 88 80 3 11 2.008788
3 89 113 101 3 12 1.896069
3 114 155 135 3 13 1.784494
3 156 254 205 3 14 1.668524
3 255 255 255 3 15 1.632580
4 0 0 0 4 0 1.000000   # ieta [16, 17], pt 0
4 15 19 17 4 1 3.201677
4 20 20 20 4 2 3.042111
4 21 21 21 4 3 3.022029
4 22 25 24 4 4 2.907062
4 26 29 28 4 5 2.734855
4 30 34 32 4 6 2.649008
4 35 40 38 4 7 2.532507
4 41 48 45 4 8 2.424569
4 49 58 54 4 9 2.295045
4 59 71 65 4 10 2.189803
4 72 88 80 4 11 2.084913
4 89 113 101 4 12 1.973469
4 114 155 135 4 13 1.869480
4 156 254 205 4 14 1.739638
4 255 255 255 4 15 1.700127
5 0 0 0 5 0 1.000000   # ieta [18, 19], pt 0
5 15 19 17 5 1 2.950496
5 20 20 20 5 2 2.779922
5 21 21 21 5 3 2.759145
5 22 25 24 5 4 2.667636
5 26 29 28 5 5 2.549566
5 30 34 32 5 6 2.441753
5 35 40 38 5 7 2.312766
5 41 48 45 5 8 2.192343
5 49 58 54 5 9 2.081061
5 59 71 65 5 10 1.977639
5 72 88 80 5 11 1.881973
5 89 113 101 5 12 1.785556
5 114 155 135 5 13 1.684709
5 156 254 205 5 14 1.567346
5 255 255 255 5 15 1.528020
6 0 0 0 6 0 1.000000   # ieta [20, 21], pt 0
6 15 19 17 6 1 2.885719
6 20 20 20 6 2 2.720283
6 21 21 21 6 3 2.705997
6 22 25 24 6 4 2.601394
6 26 29 28 6 5 2.464320
6 30 34 32 6 6 2.357395
6 35 40 38 6 7 2.245327
6 41 48 45 6 8 2.135809
6 49 58 54 6 9 2.029273
6 59 71 65 6 10 1.933749
6 72 88 80 6 11 1.840897
6 89 113 101 6 12 1.748260
6 114 155 135 6 13 1.642212
6 156 254 205 6 14 1.528329
6 255 255 255 6 15 1.485730
7 0 0 0 7 0 1.000000   # ieta [22], pt 0
7 15 19 17 7 1 2.773094
7 20 20 20 7 2 2.640399
7 21 21 21 7 3 2.631923
7 22 25 24 7 4 2.528861
7 26 29 28 7 5 2.390719
7 30 34 32 7 6 2.279138
7 35 40 38 7 7 2.179746
7 41 48 45 7 8 2.069950
