# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 1 15 8 0 1 2.099977
0 16 16 16 0 2 2.076401
0 17 17 17 0 3 2.049269
0 18 18 18 0 4 2.034655
0 19 19 19 0 5 2.001241
0 20 20 20 0 6 1.991936
0 21 21 21 0 7 1.986084
0 22 22 22 0 8 1.954266
0 23 23 23 0 9 1.947133
0 24 24 24 0 10 1.927016
0 25 25 25 0 11 1.926318
0 26 26 26 0 12 1.906860
0 27 27 27 0 13 1.902611
0 28 28 28 0 14 1.874509
0 29 29 29 0 15 1.870062
0 30 30 30 0 16 1.867453
0 31 31 31 0 17 1.850423
0 32 33 33 0 18 1.837268
0 34 35 35 0 19 1.820779
0 36 37 37 0 20 1.801365
0 38 39 39 0 21 1.774840
0 40 41 41 0 22 1.757841
0 42 43 43 0 23 1.734933
0 44 45 45 0 24 1.717185
0 46 47 47 0 25 1.700346
0 48 49 49 0 26 1.688624
0 50 51 51 0 27 1.670964
0 52 53 53 0 28 1.656564
0 54 55 55 0 29 1.649210
0 56 57 57 0 30 1.634724
0 58 59 59 0 31 1.621229
0 60 61 61 0 32 1.609721
0 62 64 63 0 33 1.589632
0 65 67 66 0 34 1.574901
0 68 70 69 0 35 1.564074
0 71 73 72 0 36 1.549698
0 74 76 75 0 37 1.535137
0 77 79 78 0 38 1.522702
0 80 82 81 0 39 1.507495
0 83 85 84 0 40 1.501412
0 86 88 87 0 41 1.491062
0 89 91 90 0 42 1.484039
0 92 94 93 0 43 1.471189
0 95 97 96 0 44 1.467225
0 98 100 99 0 45 1.458367
0 101 103 102 0 46 1.447615
0 104 109 107 0 47 1.438438
0 110 115 113 0 48 1.426727
0 116 121 119 0 49 1.416147
0 122 127 125 0 50 1.408336
0 128 133 131 0 51 1.398206
0 134 139 137 0 52 1.388514
0 140 145 143 0 53 1.379148
0 146 151 149 0 54 1.367621
0 152 157 155 0 55 1.358107
0 158 163 161 0 56 1.353429
