# address to addend+multiplicative factor LUT
# maps 11 bits to 18 bits
# 18 bits = (addend<<10) + multiplier)
# addend is signed 8 bits, multiplier is 10 bits
# anything after # is ignored with the exception of the header
# the header is first valid line starting with #<header> versionStr nrBitsAddress nrBitsData </header>
#<header> v1 11 18 </header>
0 512 	 1 512 0 	 0 0 0   # compresses ieta bin 0, pt 0
1 2047 	 2 1023 1 	 17 15 19 
2 2047 	 2 1023 1 	 20 20 20 
3 2047 	 2 1023 1 	 21 21 21 
4 2047 	 2 1023 1 	 24 22 25 
5 2047 	 2 1023 1 	 28 26 29 
6 2047 	 2 1023 1 	 32 30 34 
7 2047 	 2 1023 1 	 38 35 40 
8 2047 	 2 1023 1 	 45 41 48 
9 2047 	 2 1023 1 	 54 49 58 
10 999 	 1.94806 999 0 	 65 59 71 
11 952 	 1.85815 952 0 	 80 72 88 
12 906 	 1.76625 906 0 	 101 89 113 
13 860 	 1.67709 860 0 	 135 114 155 
14 807 	 1.5747 807 0 	 205 156 254 
15 789 	 1.53881 789 0 	 255 255 255 
16 512 	 1 512 0 	 0 0 0   # compresses ieta bin 1, pt 0
17 2047 	 2 1023 1 	 17 15 19 
18 2047 	 2 1023 1 	 20 20 20 
19 2047 	 2 1023 1 	 21 21 21 
20 2047 	 2 1023 1 	 24 22 25 
21 2047 	 2 1023 1 	 28 26 29 
22 2047 	 2 1023 1 	 32 30 34 
23 2047 	 2 1023 1 	 38 35 40 
24 2047 	 2 1023 1 	 45 41 48 
25 2047 	 2 1023 1 	 54 49 58 
26 1007 	 1.96514 1007 0 	 65 59 71 
27 958 	 1.87099 958 0 	 80 72 88 
28 911 	 1.77696 911 0 	 101 89 113 
29 864 	 1.68607 864 0 	 135 114 155 
30 810 	 1.57972 810 0 	 205 156 254 
31 791 	 1.54338 791 0 	 255 255 255 
32 512 	 1 512 0 	 0 0 0   # compresses ieta bin 2, pt 0
33 2047 	 2 1023 1 	 17 15 19 
34 2047 	 2 1023 1 	 20 20 20 
35 2047 	 2 1023 1 	 21 21 21 
36 2047 	 2 1023 1 	 24 22 25 
37 2047 	 2 1023 1 	 28 26 29 
38 2047 	 2 1023 1 	 32 30 34 
39 2047 	 2 1023 1 	 38 35 40 
40 2047 	 2 1023 1 	 45 41 48 
41 2047 	 2 1023 1 	 54 49 58 
42 2047 	 2 1023 1 	 65 59 71 
43 981 	 1.9141 981 0 	 80 72 88 
44 934 	 1.82065 934 0 	 101 89 113 
45 881 	 1.71801 881 0 	 135 114 155 
46 822 	 1.60478 822 0 	 205 156 254 
47 805 	 1.57083 805 0 	 255 255 255 
48 512 	 1 512 0 	 0 0 0   # compresses ieta bin 3, pt 0
49 2047 	 2 1023 1 	 17 15 19 
50 2047 	 2 1023 1 	 20 20 20 
51 2047 	 2 1023 1 	 21 21 21 
52 2047 	 2 1023 1 	 24 22 25 
53 2047 	 2 1023 1 	 28 26 29 
54 2047 	 2 1023 1 	 32 30 34 
55 2047 	 2 1023 1 	 38 35 40 
56 2047 	 2 1023 1 	 45 41 48 
57 2047 	 2 1023 1 	 54 49 58 
58 2047 	 2 1023 1 	 65 59 71 
59 2047 	 2 1023 1 	 80 72 88 
60 972 	 1.89607 972 0 	 101 89 113 
61 915 	 1.78449 915 0 	 135 114 155 
62 855 	 1.66852 855 0 	 205 156 254 
63 837 	 1.63258 837 0 	 255 255 255 
64 512 	 1 512 0 	 0 0 0   # compresses ieta bin 4, pt 0
65 2047 	 2 1023 1 	 17 15 19 
66 2047 	 2 1023 1 	 20 20 20 
67 2047 	 2 1023 1 	 21 21 21 
68 2047 	 2 1023 1 	 24 22 25 
69 2047 	 2 1023 1 	 28 26 29 
70 2047 	 2 1023 1 	 32 30 34 
71 2047 	 2 1023 1 	 38 35 40 
72 2047 	 2 1023 1 	 45 41 48 
73 2047 	 2 1023 1 	 54 49 58 
74 2047 	 2 1023 1 	 65 59 71 
75 2047 	 2 1023 1 	 80 72 88 
76 1013 	 1.97347 1013 0 	 101 89 113 
77 959 	 1.86948 959 0 	 135 114 155 
78 891 	 1.73964 891 0 	 205 156 254 
79 871 	 1.70013 871 0 	 255 255 255 
80 512 	 1 512 0 	 0 0 0   # compresses ieta bin 5, pt 0
81 2047 	 2 1023 1 	 17 15 19 
82 2047 	 2 1023 1 	 20 20 20 
83 2047 	 2 1023 1 	 21 21 21 
84 2047 	 2 1023 1 	 24 22 25 
85 2047 	 2 1023 1 	 28 26 29 
86 2047 	 2 1023 1 	 32 30 34 
87 2047 	 2 1023 1 	 38 35 40 
88 2047 	 2 1023 1 	 45 41 48 
89 2047 	 2 1023 1 	 54 49 58 
90 1015 	 1.97764 1015 0 	 65 59 71 
91 965 	 1.88197 965 0 	 80 72 88 
92 917 	 1.78556 917 0 	 101 89 113 
93 864 	 1.68471 864 0 	 135 114 155 
94 804 	 1.56735 804 0 	 205 156 254 
95 783 	 1.52802 783 0 	 255 255 255 
96 512 	 1 512 0 	 0 0 0   # compresses ieta bin 6, pt 0
97 2047 	 2 1023 1 	 17 15 19 
98 2047 	 2 1023 1 	 20 20 20 
99 2047 	 2 1023 1 	 21 21 21 
100 2047 	 2 1023 1 	 24 22 25 
101 2047 	 2 1023 1 	 28 26 29 
102 2047 	 2 1023 1 	 32 30 34 
103 2047 	 2 1023 1 	 38 35 40 
104 2047 	 2 1023 1 	 45 41 48 
105 2047 	 2 1023 1 	 54 49 58 
106 991 	 1.93375 991 0 	 65 59 71 
107 946 	 1.8409 946 0 	 80 72 88 
108 896 	 1.74826 896 0 	 101 89 113 
