# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 15 15 15 0 1 2.600000
0 16 16 16 0 2 2.600000
0 17 17 17 0 3 2.600000
0 18 18 18 0 4 2.600000
0 19 19 19 0 5 2.600000
0 20 20 20 0 6 2.600000
0 21 21 21 0 7 2.600000
0 22 22 22 0 8 2.588241
0 23 23 23 0 9 2.551046
0 24 24 24 0 10 2.504631
0 25 25 25 0 11 2.471050
0 26 26 26 0 12 2.454202
0 27 27 27 0 13 2.443598
0 28 28 28 0 14 2.407476
0 29 29 29 0 15 2.396364
0 30 30 30 0 16 2.390811
0 31 31 31 0 17 2.337056
0 32 33 33 0 18 2.306878
0 34 35 35 0 19 2.269976
0 36 37 37 0 20 2.243708
0 38 39 39 0 21 2.210196
0 40 41 41 0 22 2.188093
0 42 43 43 0 23 2.155817
0 44 45 45 0 24 2.118927
0 46 47 47 0 25 2.095886
0 48 49 49 0 26 2.074904
0 50 51 51 0 27 2.058774
0 52 53 53 0 28 2.036859
0 54 55 55 0 29 2.006137
0 56 57 57 0 30 1.994943
0 58 59 59 0 31 1.971795
0 60 61 61 0 32 1.957820
0 62 64 63 0 33 1.944810
0 65 67 66 0 34 1.925239
0 68 70 69 0 35 1.901710
0 71 73 72 0 36 1.883942
0 74 76 75 0 37 1.870066
0 77 79 78 0 38 1.850325
0 80 82 81 0 39 1.837204
0 83 85 84 0 40 1.823927
0 86 88 87 0 41 1.811374
0 89 91 90 0 42 1.799335
0 92 94 93 0 43 1.779552
0 95 97 96 0 44 1.764299
0 98 100 99 0 45 1.758101
0 101 103 102 0 46 1.750880
0 104 109 107 0 47 1.731248
0 110 115 113 0 48 1.717083
0 116 121 119 0 49 1.700344
0 122 127 125 0 50 1.684859
0 128 133 131 0 51 1.670548
0 134 139 137 0 52 1.655789
0 140 145 143 0 53 1.643340
0 146 151 149 0 54 1.633690
0 152 157 155 0 55 1.619639
0 158 163 161 0 56 1.612363
0 164 169 167 0 57 1.600543
0 170 175 173 0 58 1.593017
0 176 181 179 0 59 1.587210
0 182 187 185 0 60 1.581121
0 188 193 191 0 61 1.577966
0 194 254 224 0 62 1.545989
0 255 255 255 0 63 1.524600
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 15 15 15 1 1 2.600000
1 16 16 16 1 2 2.600000
1 17 17 17 1 3 2.600000
1 18 18 18 1 4 2.600000
1 19 19 19 1 5 2.600000
1 20 20 20 1 6 2.600000
1 21 21 21 1 7 2.600000
1 22 22 22 1 8 2.600000
1 23 23 23 1 9 2.560271
1 24 24 24 1 10 2.519184
1 25 25 25 1 11 2.482815
1 26 26 26 1 12 2.466672
1 27 27 27 1 13 2.456014
1 28 28 28 1 14 2.419708
1 29 29 29 1 15 2.407219
1 30 30 30 1 16 2.401642
1 31 31 31 1 17 2.347643
1 32 33 33 1 18 2.316012
1 34 35 35 1 19 2.277353
1 36 37 37 1 20 2.250913
1 38 39 39 1 21 2.217500
1 40 41 41 1 22 2.195324
1 42 43 43 1 23 2.162941
1 44 45 45 1 24 2.125929
1 46 47 47 1 25 2.102356
1 48 49 49 1 26 2.081247
1 50 51 51 1 27 2.061730
1 52 53 53 1 28 2.045821
1 54 55 55 1 29 2.015041
1 56 57 57 1 30 2.003732
1 58 59 59 1 31 1.980681
1 60 61 61 1 32 1.966097
1 62 64 63 1 33 1.952486
1 65 67 66 1 34 1.932838
1 68 70 69 1 35 1.909216
1 71 73 72 1 36 1.891378
1 74 76 75 1 37 1.877447
1 77 79 78 1 38 1.857579
1 80 82 81 1 39 1.844407
1 83 85 84 1 40 1.830886
1 86 88 87 1 41 1.817667
1 89 91 90 1 42 1.805925
1 92 94 93 1 43 1.785713
1 95 97 96 1 44 1.770770
1 98 100 99 1 45 1.764431
1 101 103 102 1 46 1.757074
1 104 109 107 1 47 1.738118
1 110 115 113 1 48 1.724608
1 116 121 119 1 49 1.707805
1 122 127 125 1 50 1.693181
1 128 133 131 1 51 1.679833
1 134 139 137 1 52 1.664992
1 140 145 143 1 53 1.654693
1 146 151 149 1 54 1.644975
1 152 157 155 1 55 1.630930
1 158 163 161 1 56 1.623909
1 164 169 167 1 57 1.611800
1 170 175 173 1 58 1.604497
1 176 181 179 1 59 1.599209
1 182 187 185 1 60 1.593509
1 188 193 191 1 61 1.590322
1 194 254 224 1 62 1.554647
1 255 255 255 1 63 1.540690
2 0 0 0 2 0 1.000000   # ieta [3], pt 0
2 15 15 15 2 1 2.600000
2 16 16 16 2 2 2.600000
2 17 17 17 2 3 2.600000
2 18 18 18 2 4 2.600000
2 19 19 19 2 5 2.600000
2 20 20 20 2 6 2.600000
2 21 21 21 2 7 2.600000
2 22 22 22 2 8 2.600000
2 23 23 23 2 9 2.566817
2 24 24 24 2 10 2.525310
2 25 25 25 2 11 2.488492
2 26 26 26 2 12 2.472221
2 27 27 27 2 13 2.461539
2 28 28 28 2 14 2.424110
2 29 29 29 2 15 2.411599
2 30 30 30 2 16 2.406010
2 31 31 31 2 17 2.351914
2 32 33 33 2 18 2.319729
2 34 35 35 2 19 2.280323
2 36 37 37 2 20 2.253660
2 38 39 39 2 21 2.220726
2 40 41 41 2 22 2.199467
2 42 43 43 2 23 2.167253
2 44 45 45 2 24 2.129974
2 46 47 47 2 25 2.107825
2 48 49 49 2 26 2.086341
2 50 51 51 2 27 2.065399
2 52 53 53 2 28 2.049461
2 54 55 55 2 29 2.018564
2 56 57 57 2 30 2.007060
2 58 59 59 2 31 1.986433
2 60 61 61 2 32 1.971797
2 62 64 63 2 33 1.958147
2 65 67 66 2 34 1.939125
2 68 70 69 2 35 1.914638
2 71 73 72 2 36 1.897097
2 74 76 75 2 37 1.882552
2 77 79 78 2 38 1.862630
2 80 82 81 2 39 1.849229
2 83 85 84 2 40 1.834987
2 86 88 87 2 41 1.821764
2 89 91 90 2 42 1.811384
2 92 94 93 2 43 1.791519
2 95 97 96 2 44 1.776352
2 98 100 99 2 45 1.769906
2 101 103 102 2 46 1.762526
2 104 109 107 2 47 1.743511
2 110 115 113 2 48 1.729266
2 116 121 119 2 49 1.712417
2 122 127 125 2 50 1.697659
2 128 133 131 2 51 1.684087
2 134 139 137 2 52 1.669209
2 140 145 143 2 53 1.658144
2 146 151 149 2 54 1.648004
2 152 157 155 2 55 1.633183
2 158 163 161 2 56 1.625410
2 164 169 167 2 57 1.613264
2 170 175 173 2 58 1.605954
2 176 181 179 2 59 1.600480
2 182 187 185 2 60 1.594404
2 188 193 191 2 61 1.591215
2 194 254 224 2 62 1.555296
2 255 255 255 2 63 1.541067
3 0 0 0 3 0 1.000000   # ieta [4], pt 0
3 15 15 15 3 1 2.600000
3 16 16 16 3 2 2.600000
3 17 17 17 3 3 2.600000
3 18 18 18 3 4 2.600000
3 19 19 19 3 5 2.600000
3 20 20 20 3 6 2.600000
3 21 21 21 3 7 2.600000
3 22 22 22 3 8 2.600000
3 23 23 23 3 9 2.580130
3 24 24 24 3 10 2.537885
3 25 25 25 3 11 2.508210
3 26 26 26 3 12 2.491809
3 27 27 27 3 13 2.481433
3 28 28 28 3 14 2.443701
3 29 29 29 3 15 2.430651
3 30 30 30 3 16 2.425019
3 31 31 31 3 17 2.372347
3 32 33 33 3 18 2.343155
3 34 35 35 3 19 2.303385
