# columns 
# CaloToolMPEtaBin PtMin PtMax avgPt IEtaBin_forLUT_col1 PtBin_forLUT SF
0 0 0 0 0 0 1.000000   # ieta [1], pt 0
0 15 15 15 0 1 2.000000
0 16 16 16 0 2 2.000000
0 17 17 17 0 3 2.000000
0 18 18 18 0 4 2.000000
0 19 19 19 0 5 2.000000
0 20 20 20 0 6 2.000000
0 21 21 21 0 7 2.000000
0 22 22 22 0 8 2.000000
0 23 23 23 0 9 2.000000
0 24 24 24 0 10 2.000000
0 25 25 25 0 11 2.000000
0 26 26 26 0 12 2.000000
0 27 27 27 0 13 2.000000
0 28 28 28 0 14 2.000000
0 29 29 29 0 15 2.000000
0 30 30 30 0 16 2.000000
0 31 31 31 0 17 2.000000
0 32 33 33 0 18 2.000000
0 34 35 35 0 19 2.000000
0 36 37 37 0 20 2.000000
0 38 39 39 0 21 2.000000
0 40 41 41 0 22 2.000000
0 42 43 43 0 23 2.000000
0 44 45 45 0 24 2.000000
0 46 47 47 0 25 2.000000
0 48 49 49 0 26 2.000000
0 50 51 51 0 27 2.000000
0 52 53 53 0 28 2.000000
0 54 55 55 0 29 2.000000
0 56 57 57 0 30 1.989954
0 58 59 59 0 31 1.971952
0 60 61 61 0 32 1.957177
0 62 64 63 0 33 1.941116
0 65 67 66 0 34 1.919531
0 68 70 69 0 35 1.895161
0 71 73 72 0 36 1.880598
0 74 76 75 0 37 1.864355
0 77 79 78 0 38 1.851203
0 80 82 81 0 39 1.833990
0 83 85 84 0 40 1.818549
0 86 88 87 0 41 1.808729
0 89 91 90 0 42 1.797089
0 92 94 93 0 43 1.777318
0 95 97 96 0 44 1.759674
0 98 100 99 0 45 1.752775
0 101 103 102 0 46 1.745139
0 104 109 107 0 47 1.731327
0 110 115 113 0 48 1.716740
0 116 121 119 0 49 1.699089
0 122 127 125 0 50 1.688132
0 128 133 131 0 51 1.672933
0 134 139 137 0 52 1.657927
0 140 145 143 0 53 1.649137
0 146 151 149 0 54 1.638032
0 152 157 155 0 55 1.622028
0 158 163 161 0 56 1.611627
0 164 169 167 0 57 1.603521
0 170 175 173 0 58 1.594855
0 176 181 179 0 59 1.587995
0 182 187 185 0 60 1.583589
0 188 193 191 0 61 1.581141
0 194 254 224 0 62 1.542705
0 255 255 255 0 63 1.518455
1 0 0 0 1 0 1.000000   # ieta [2], pt 0
1 15 15 15 1 1 2.000000
1 16 16 16 1 2 2.000000
1 17 17 17 1 3 2.000000
1 18 18 18 1 4 2.000000
1 19 19 19 1 5 2.000000
1 20 20 20 1 6 2.000000
1 21 21 21 1 7 2.000000
1 22 22 22 1 8 2.000000
1 23 23 23 1 9 2.000000
1 24 24 24 1 10 2.000000
1 25 25 25 1 11 2.000000
1 26 26 26 1 12 2.000000
1 27 27 27 1 13 2.000000
1 28 28 28 1 14 2.000000
1 29 29 29 1 15 2.000000
1 30 30 30 1 16 2.000000
1 31 31 31 1 17 2.000000
1 32 33 33 1 18 2.000000
1 34 35 35 1 19 2.000000
1 36 37 37 1 20 2.000000
1 38 39 39 1 21 2.000000
1 40 41 41 1 22 2.000000
1 42 43 43 1 23 2.000000
1 44 45 45 1 24 2.000000
1 46 47 47 1 25 2.000000
1 48 49 49 1 26 2.000000
1 50 51 51 1 27 2.000000
1 52 53 53 1 28 2.000000
1 54 55 55 1 29 2.000000
1 56 57 57 1 30 1.993241
1 58 59 59 1 31 1.975683
1 60 61 61 1 32 1.960880
1 62 64 63 1 33 1.944908
1 65 67 66 1 34 1.923520
1 68 70 69 1 35 1.899211
1 71 73 72 1 36 1.884672
1 74 76 75 1 37 1.868393
1 77 79 78 1 38 1.855455
1 80 82 81 1 39 1.838373
1 83 85 84 1 40 1.823218
1 86 88 87 1 41 1.813372
1 89 91 90 1 42 1.801703
1 92 94 93 1 43 1.782649
1 95 97 96 1 44 1.765485
1 98 100 99 1 45 1.758820
1 101 103 102 1 46 1.751228
1 104 109 107 1 47 1.738560
1 110 115 113 1 48 1.724710
1 116 121 119 1 49 1.707282
1 122 127 125 1 50 1.696976
1 128 133 131 1 51 1.682625
1 134 139 137 1 52 1.668217
1 140 145 143 1 53 1.659373
1 146 151 149 1 54 1.648362
1 152 157 155 1 55 1.632473
1 158 163 161 1 56 1.621338
1 164 169 167 1 57 1.613608
1 170 175 173 1 58 1.604928
1 176 181 179 1 59 1.599465
1 182 187 185 1 60 1.594667
1 188 193 191 1 61 1.592110
1 194 254 224 1 62 1.554025
1 255 255 255 1 63 1.529653
2 0 0 0 2 0 1.000000   # ieta [3], pt 0
2 15 15 15 2 1 2.000000
2 16 16 16 2 2 2.000000
2 17 17 17 2 3 2.000000
2 18 18 18 2 4 2.000000
2 19 19 19 2 5 2.000000
2 20 20 20 2 6 2.000000
2 21 21 21 2 7 2.000000
2 22 22 22 2 8 2.000000
2 23 23 23 2 9 2.000000
2 24 24 24 2 10 2.000000
2 25 25 25 2 11 2.000000
2 26 26 26 2 12 2.000000
2 27 27 27 2 13 2.000000
2 28 28 28 2 14 2.000000
2 29 29 29 2 15 2.000000
2 30 30 30 2 16 2.000000
2 31 31 31 2 17 2.000000
2 32 33 33 2 18 2.000000
2 34 35 35 2 19 2.000000
2 36 37 37 2 20 2.000000
2 38 39 39 2 21 2.000000
2 40 41 41 2 22 2.000000
2 42 43 43 2 23 2.000000
2 44 45 45 2 24 2.000000
2 46 47 47 2 25 2.000000
2 48 49 49 2 26 2.000000
2 50 51 51 2 27 2.000000
2 52 53 53 2 28 2.000000
2 54 55 55 2 29 2.000000
2 56 57 57 2 30 1.999832
2 58 59 59 2 31 1.985597
2 60 61 61 2 32 1.970719
2 62 64 63 2 33 1.954668
